[4/20/23 04:54AM] Boms used command ::ref | Player rights = PLAYER	
[4/20/23 04:57AM] Boms used command ::zones | Player rights = PLAYER	
[4/20/23 05:06AM] Boms used command ::train | Player rights = PLAYER	
[4/20/23 05:08AM] Boms used command ::train | Player rights = PLAYER	
[4/20/23 05:09AM] Boms used command ::train | Player rights = PLAYER	
[4/20/23 05:11AM] Boms used command ::::train | Player rights = PLAYER	
[4/20/23 05:11AM] Boms used command ::train | Player rights = PLAYER	
[4/20/23 05:19AM] Boms used command ::veigar | Player rights = PLAYER	
[4/20/23 05:21AM] Boms used command ::ninetails | Player rights = PLAYER	
[4/20/23 05:23AM] Boms used command ::miru | Player rights = PLAYER	
[4/20/23 05:23AM] Boms used command ::meruem | Player rights = PLAYER	
[4/20/23 05:28AM] Boms used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 05:49AM] Boms used command ::veugar | Player rights = CLERIC_DONATOR	
[4/20/23 05:49AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:52AM] Boms used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:57AM] Boms used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Boms used command ::veiger | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Boms used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Boms used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Boms used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:30AM] Boms used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Boms used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Boms used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:50AM] Boms used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 07:14AM] Boms used command ::yell buying in names  | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Boms used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Boms used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Boms used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:34AM] Boms used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:14AM] Boms used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:14AM] Boms used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:15AM] Boms used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Boms used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Boms used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 08:38AM] Boms used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:42AM] Boms used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 08:44AM] Boms used command ::b | Player rights = CLERIC_DONATOR	
[4/20/23 08:50AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:19AM] Boms used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Boms used command ::nunetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Boms used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:21AM] Boms used command ::yell cry is free guys  | Player rights = CLERIC_DONATOR	
