[4/19/23 06:42AM] Rsps2 used command ::train | Player rights = PLAYER	
[4/19/23 06:48AM] Rsps2 used command ::upgrade | Player rights = PLAYER	
[4/19/23 06:49AM] Rsps2 used command ::train | Player rights = PLAYER	
[4/19/23 06:53AM] Rsps2 used command ::veigar | Player rights = PLAYER	
[4/19/23 06:59AM] Rsps2 used command ::train | Player rights = PLAYER	
[4/19/23 07:21AM] Rsps2 used command ::voteboss | Player rights = PLAYER	
[4/19/23 08:16AM] Rsps2 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:44AM] Rsps2 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:14AM] Rsps2 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:18AM] Rsps2 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19AM] Rsps2 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:25AM] Rsps2 used command ::reffer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:25AM] Rsps2 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:26AM] Rsps2 used command ::reff | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:26AM] Rsps2 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:26AM] Rsps2 used command ::red | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:26AM] Rsps2 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:41AM] Rsps2 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:13PM] Rsps2 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Rsps2 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Rsps2 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Rsps2 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Rsps2 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Rsps2 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Rsps2 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Rsps2 used command ::legend | Player rights = CLERIC_DONATOR	
[4/21/23 02:03AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:04AM] Rsps2 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 02:26AM] Rsps2 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:33AM] Rsps2 used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Rsps2 used command ::reward 1 3 | Player rights = CLERIC_DONATOR	
[4/21/23 02:43AM] Rsps2 used command ::perk | Player rights = CLERIC_DONATOR	
[4/21/23 03:02AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:02AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:26AM] Rsps2 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 04:32AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:02AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:45AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:49AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:01AM] Rsps2 used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:01AM] Rsps2 used command ::bank | Player rights = CLERIC_DONATOR	
