[4/22/23 11:27PM] Aynxs used command ::donate | Player rights = PLAYER	
[4/22/23 11:34PM] Aynxs used command ::train | Player rights = PLAYER	
[4/22/23 11:36PM] Aynxs used command ::donate | Player rights = PLAYER	
[4/22/23 11:38PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/22/23 11:38PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/22/23 11:39PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/22/23 11:39PM] Aynxs used command ::train | Player rights = PLAYER	
[4/22/23 11:41PM] Aynxs used command ::home | Player rights = PLAYER	
[4/22/23 11:41PM] Aynxs used command ::train | Player rights = PLAYER	
[4/22/23 11:46PM] Aynxs used command ::train | Player rights = PLAYER	
[4/22/23 11:51PM] Aynxs used command ::staff | Player rights = PLAYER	
[4/22/23 11:51PM] Aynxs used command ::online | Player rights = PLAYER	
[4/22/23 11:55PM] Aynxs used command ::train | Player rights = PLAYER	
[4/22/23 11:58PM] Aynxs used command ::train | Player rights = PLAYER	
[4/23/23 12:02AM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/23/23 12:05AM] Aynxs used command ::train | Player rights = PLAYER	
[4/23/23 12:06AM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 12:15AM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 09:59AM] Aynxs used command ::train | Player rights = PLAYER	
[4/23/23 10:02AM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 10:06AM] Aynxs used command ::bosses | Player rights = PLAYER	
[4/23/23 10:06AM] Aynxs used command ::boss | Player rights = PLAYER	
[4/23/23 10:08AM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 10:08AM] Aynxs used command ::perks | Player rights = PLAYER	
[4/23/23 10:09AM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 10:17AM] Aynxs used command ::drops | Player rights = PLAYER	
[4/23/23 10:19AM] Aynxs used command ::global | Player rights = PLAYER	
[4/23/23 10:24AM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/23/23 10:27AM] Aynxs used command ::drops | Player rights = PLAYER	
[4/23/23 10:27AM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 10:34AM] Aynxs used command ::train | Player rights = PLAYER	
[4/23/23 06:46PM] Aynxs used command ::box | Player rights = PLAYER	
[4/23/23 06:46PM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 06:47PM] Aynxs used command ::donated | Player rights = PLAYER	
[4/23/23 06:56PM] Aynxs used command ::vote | Player rights = PLAYER	
[4/23/23 06:57PM] Aynxs used command ::claimvote | Player rights = PLAYER	
[4/23/23 06:58PM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 06:58PM] Aynxs used command ::voted | Player rights = PLAYER	
[4/23/23 06:58PM] Aynxs used command ::voted | Player rights = PLAYER	
[4/23/23 06:58PM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 06:58PM] Aynxs used command ::voted | Player rights = PLAYER	
[4/23/23 07:01PM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/23/23 07:04PM] Aynxs used command ::vboss | Player rights = PLAYER	
[4/23/23 07:04PM] Aynxs used command ::voted | Player rights = PLAYER	
[4/23/23 07:05PM] Aynxs used command ::reward | Player rights = PLAYER	
[4/23/23 07:05PM] Aynxs used command ::reward 1 | Player rights = PLAYER	
[4/23/23 07:10PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 07:10PM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 07:11PM] Aynxs used command ::donationdeals | Player rights = PLAYER	
[4/23/23 07:12PM] Aynxs used command ::loot | Player rights = PLAYER	
[4/23/23 07:15PM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 07:16PM] Aynxs used command ::train2 | Player rights = PLAYER	
[4/23/23 07:19PM] Aynxs used command ::loot | Player rights = PLAYER	
[4/23/23 07:22PM] Aynxs used command ::store | Player rights = PLAYER	
[4/23/23 07:23PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/23/23 07:23PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/23/23 07:23PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/23/23 07:24PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/23/23 07:31PM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/23/23 07:33PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 07:36PM] Aynxs used command ::maxhit | Player rights = PLAYER	
[4/23/23 07:52PM] Aynxs used command ::shop | Player rights = PLAYER	
[4/23/23 07:52PM] Aynxs used command ::shops | Player rights = PLAYER	
[4/23/23 07:52PM] Aynxs used command ::commands | Player rights = PLAYER	
[4/23/23 07:52PM] Aynxs used command ::shops | Player rights = PLAYER	
[4/23/23 07:53PM] Aynxs used command ::shops | Player rights = PLAYER	
[4/23/23 08:01PM] Aynxs used command ::viegar | Player rights = PLAYER	
[4/23/23 08:01PM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/23/23 08:07PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 08:07PM] Aynxs used command ::store | Player rights = PLAYER	
[4/23/23 08:22PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 08:31PM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/23/23 08:40PM] Aynxs used command ::slayer | Player rights = PLAYER	
[4/23/23 08:47PM] Aynxs used command ::gamble | Player rights = PLAYER	
[4/23/23 08:47PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 09:00PM] Aynxs used command ::store | Player rights = PLAYER	
[4/23/23 09:01PM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/23/23 09:03PM] Aynxs used command ::claim | Player rights = PLAYER	
[4/23/23 09:09PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 09:21PM] Aynxs used command ::slayer | Player rights = PLAYER	
[4/23/23 09:22PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 09:27PM] Aynxs used command ::slayer | Player rights = PLAYER	
[4/23/23 09:28PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 09:29PM] Aynxs used command ::ape | Player rights = PLAYER	
[4/23/23 09:29PM] Aynxs used command ::gape | Player rights = PLAYER	
[4/23/23 09:37PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 09:41PM] Aynxs used command ::home | Player rights = PLAYER	
[4/23/23 09:54PM] Aynxs used command ::store | Player rights = PLAYER	
[4/24/23 06:17AM] Aynxs used command ::loot | Player rights = PLAYER	
[4/24/23 06:17AM] Aynxs used command ::reg | Player rights = PLAYER	
[4/24/23 06:17AM] Aynxs used command ::ref | Player rights = PLAYER	
[4/24/23 06:25AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 06:36AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 06:38AM] Aynxs used command ::voteboss | Player rights = PLAYER	
[4/24/23 07:01AM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/24/23 07:03AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 07:15AM] Aynxs used command ::maxhit | Player rights = PLAYER	
[4/24/23 07:16AM] Aynxs used command ::noble | Player rights = PLAYER	
[4/24/23 07:23AM] Aynxs used command ::viegar | Player rights = PLAYER	
[4/24/23 07:23AM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/24/23 07:25AM] Aynxs used command ::yellowape | Player rights = PLAYER	
[4/24/23 07:25AM] Aynxs used command ::nintails | Player rights = PLAYER	
[4/24/23 07:25AM] Aynxs used command ::ninetails | Player rights = PLAYER	
