[4/15/23 08:59AM] Slurmf used command ::Veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Slurmf used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:06AM] Slurmf used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:13AM] Slurmf used command ::Votebos::voteboss | Player rights = PLAYER	
[4/15/23 09:13AM] Slurmf used command ::Voteboss | Player rights = PLAYER	
[4/15/23 09:29AM] Slurmf used command ::::veigar | Player rights = PLAYER	
[4/15/23 09:29AM] Slurmf used command ::veigar | Player rights = PLAYER	
[4/15/23 09:30AM] Slurmf used command ::golden | Player rights = PLAYER	
[4/15/23 09:30AM] Slurmf used command ::ninetails | Player rights = PLAYER	
[4/15/23 09:31AM] Slurmf used command ::golden | Player rights = PLAYER	
[4/15/23 09:57AM] Slurmf used command ::donate | Player rights = PLAYER	
[4/15/23 09:58AM] Slurmf used command ::veigar | Player rights = PLAYER	
