[4/19/23 08:00AM] Tempest used command ::ref | Player rights = PLAYER	
[4/19/23 08:05AM] Tempest used command ::bank | Player rights = PLAYER	
[4/19/23 08:05AM] Tempest used command ::bank | Player rights = PLAYER	
[4/19/23 08:06AM] Tempest used command ::train | Player rights = PLAYER	
[4/19/23 08:09AM] Tempest used command ::home | Player rights = PLAYER	
[4/19/23 08:09AM] Tempest used command ::train | Player rights = PLAYER	
[4/19/23 08:10AM] Tempest used command ::train | Player rights = PLAYER	
[4/19/23 08:16AM] Tempest used command ::veigar | Player rights = PLAYER	
[4/19/23 08:17AM] Tempest used command ::train | Player rights = PLAYER	
[4/19/23 08:21AM] Tempest used command ::home | Player rights = PLAYER	
[4/19/23 08:46AM] Tempest used command ::veigar | Player rights = PLAYER	
[4/19/23 08:56AM] Tempest used command ::Voteboss | Player rights = PLAYER	
[4/19/23 09:09AM] Tempest used command ::Veigar | Player rights = PLAYER	
[4/20/23 03:57AM] Tempest used command ::vote | Player rights = PLAYER	
[4/20/23 03:59AM] Tempest used command ::Reward 1 | Player rights = PLAYER	
[4/20/23 03:59AM] Tempest used command ::Reward 1 | Player rights = PLAYER	
[4/20/23 03:59AM] Tempest used command ::reward 1 | Player rights = PLAYER	
[4/20/23 03:59AM] Tempest used command ::reward 1 | Player rights = PLAYER	
[4/20/23 03:59AM] Tempest used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:19AM] Tempest used command ::veigar | Player rights = PLAYER	
[4/20/23 04:19AM] Tempest used command ::ninetails | Player rights = PLAYER	
[4/20/23 04:19AM] Tempest used command ::veigar | Player rights = PLAYER	
[4/20/23 04:21AM] Tempest used command ::ninetail | Player rights = PLAYER	
[4/20/23 04:21AM] Tempest used command ::ninetails | Player rights = PLAYER	
[4/20/23 04:24AM] Tempest used command ::ninetails | Player rights = PLAYER	
[4/20/23 04:24AM] Tempest used command ::home | Player rights = PLAYER	
[4/20/23 05:19AM] Tempest used command ::veigar | Player rights = PLAYER	
[4/20/23 05:21AM] Tempest used command ::ninetails | Player rights = PLAYER	
[4/20/23 05:22AM] Tempest used command ::meruem | Player rights = PLAYER	
[4/20/23 05:27AM] Tempest used command ::home | Player rights = PLAYER	
[4/20/23 05:27AM] Tempest used command ::eragon | Player rights = PLAYER	
[4/20/23 05:28AM] Tempest used command ::home | Player rights = PLAYER	
[4/20/23 05:37AM] Tempest used command ::wr3cked | Player rights = PLAYER	
[4/20/23 05:43AM] Tempest used command ::claimvote | Player rights = PLAYER	
[4/20/23 05:49AM] Tempest used command ::Veigar | Player rights = PLAYER	
[4/20/23 05:52AM] Tempest used command ::vboss | Player rights = PLAYER	
[4/20/23 05:58AM] Tempest used command ::meruem | Player rights = PLAYER	
[4/20/23 06:04AM] Tempest used command ::pos | Player rights = PLAYER	
[4/20/23 06:04AM] Tempest used command ::Home | Player rights = PLAYER	
[4/20/23 06:06AM] Tempest used command ::Bis | Player rights = PLAYER	
[4/20/23 06:06AM] Tempest used command ::bis | Player rights = PLAYER	
[4/20/23 06:08AM] Tempest used command ::Home | Player rights = PLAYER	
[4/20/23 06:19AM] Tempest used command ::Veigar | Player rights = PLAYER	
[4/20/23 06:21AM] Tempest used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:21AM] Tempest used command ::mydr | Player rights = PLAYER	
[4/20/23 06:22AM] Tempest used command ::Golden | Player rights = PLAYER	
[4/20/23 06:26AM] Tempest used command ::meruem | Player rights = PLAYER	
[4/20/23 06:28AM] Tempest used command ::veigar | Player rights = PLAYER	
[4/20/23 06:32AM] Tempest used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:39AM] Tempest used command ::mydr | Player rights = PLAYER	
[4/20/23 06:49AM] Tempest used command ::Veigar | Player rights = PLAYER	
[4/21/23 11:27AM] Tempest used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:27AM] Tempest used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:27AM] Tempest used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:27AM] Tempest used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:31AM] Tempest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:33AM] Tempest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35AM] Tempest used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35AM] Tempest used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:57AM] Tempest used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:02PM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:04PM] Tempest used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:05PM] Tempest used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:05PM] Tempest used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Tempest used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Tempest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:04PM] Tempest used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:06PM] Tempest used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:08PM] Tempest used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:15PM] Tempest used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:32PM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:34PM] Tempest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:56PM] Tempest used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02PM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:06PM] Tempest used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:14PM] Tempest used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:32PM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:34PM] Tempest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:34PM] Tempest used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:34PM] Tempest used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:35PM] Tempest used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:29AM] Tempest used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32AM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Tempest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35AM] Tempest used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:41AM] Tempest used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:42AM] Tempest used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:45AM] Tempest used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:39AM] Tempest used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:02AM] Tempest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:15AM] Tempest used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:15AM] Tempest used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:17AM] Tempest used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:17AM] Tempest used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:19AM] Tempest used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:22AM] Tempest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:25AM] Tempest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:26AM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:32AM] Tempest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:33AM] Tempest used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:49AM] Tempest used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:01AM] Tempest used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:12AM] Tempest used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:13AM] Tempest used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:13AM] Tempest used command ::home | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:21AM] Tempest used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:31AM] Tempest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:33AM] Tempest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:48AM] Tempest used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:49AM] Tempest used command ::mydr | Player rights = GRACEFUL_DONATOR	
