[4/20/23 05:59AM] Berrka used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/20/23 06:09AM] Berrka used command ::home | Player rights = PLAYER	
[4/20/23 06:11AM] Berrka used command ::Train | Player rights = PLAYER	
[4/20/23 06:14AM] Berrka used command ::slayer | Player rights = PLAYER	
[4/20/23 06:18AM] Berrka used command ::slayer | Player rights = PLAYER	
[4/20/23 06:19AM] Berrka used command ::veigar | Player rights = PLAYER	
[4/20/23 06:21AM] Berrka used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:22AM] Berrka used command ::golden | Player rights = PLAYER	
[4/20/23 06:23AM] Berrka used command ::golden | Player rights = PLAYER	
[4/20/23 06:25AM] Berrka used command ::home | Player rights = PLAYER	
[4/20/23 06:26AM] Berrka used command ::vote | Player rights = PLAYER	
[4/20/23 06:27AM] Berrka used command ::meruem | Player rights = PLAYER	
[4/20/23 06:28AM] Berrka used command ::reward 1 | Player rights = PLAYER	
[4/20/23 06:28AM] Berrka used command ::reward 1 | Player rights = PLAYER	
[4/20/23 06:28AM] Berrka used command ::reward 1 | Player rights = PLAYER	
[4/20/23 06:28AM] Berrka used command ::veigar | Player rights = PLAYER	
[4/20/23 06:33AM] Berrka used command ::vboss | Player rights = PLAYER	
[4/20/23 06:49AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:51AM] Berrka used command ::payers | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:52AM] Berrka used command ::yellowevent | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:53AM] Berrka used command ::yellowevent | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:53AM] Berrka used command ::yell damn | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:55AM] Berrka used command ::yell buying any weapon better than 500+ bonuses | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:00AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:20AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:23AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:55AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:59AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:01AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:03AM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:04AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:04AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:04AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:04AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:04AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:04AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:08AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:08AM] Berrka used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:13AM] Berrka used command ::train | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:14AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:26AM] Berrka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:29AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:32AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:35AM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:37AM] Berrka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:41AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:45AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:48AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:52AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:59AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:03AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:05AM] Berrka used command ::::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:05AM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:05AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:09AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:15AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:09AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:14AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:21AM] Berrka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:23AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:32AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:36AM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:38AM] Berrka used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:40AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:43AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:53AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:02AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:09AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:09AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:31AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:36AM] Berrka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:37AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:47AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:56AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:05AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:16AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:36AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:37AM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:43AM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:01PM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:02PM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:04PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:04PM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:05PM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:05PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:06PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:06PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:08PM] Berrka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Berrka used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:38PM] Berrka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:43PM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:48PM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:54PM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:57PM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:01PM] Berrka used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:05PM] Berrka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:14PM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:40PM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56PM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56PM] Berrka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34PM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34PM] Berrka used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02PM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:04PM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:46PM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:47PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:47PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:47PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:48PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:48PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:48PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:48PM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:48PM] Berrka used command ::players | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:02AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:57AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:03AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] Berrka used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:34AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:04AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Berrka used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Berrka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Berrka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:05AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:12AM] Berrka used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:51AM] Berrka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:41AM] Berrka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:42AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:42AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:42AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:42AM] Berrka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:53AM] Berrka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Berrka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Berrka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Berrka used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Berrka used command ::veigar | Player rights = GRACEFUL_DONATOR	
