[4/17/23 08:05AM] The Kins used command ::Train | Player rights = PLAYER	
[4/17/23 08:06AM] The Kins used command ::Train | Player rights = PLAYER	
[4/17/23 08:07AM] The Kins used command ::voteboss | Player rights = PLAYER	
[4/17/23 08:11AM] The Kins used command ::veigar | Player rights = PLAYER	
[4/17/23 08:12AM] The Kins used command ::train | Player rights = PLAYER	
[4/17/23 08:17AM] The Kins used command ::Train | Player rights = PLAYER	
[4/17/23 08:23AM] The Kins used command ::Home | Player rights = PLAYER	
[4/17/23 08:25AM] The Kins used command ::ref walkchaos | Player rights = PLAYER	
[4/17/23 08:40AM] The Kins used command ::veigar | Player rights = PLAYER	
[4/17/23 08:46AM] The Kins used command ::train | Player rights = TORMENTED_DONATOR	
[4/17/23 08:59AM] The Kins used command ::dz | Player rights = TORMENTED_DONATOR	
[4/17/23 08:59AM] The Kins used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/17/23 08:59AM] The Kins used command ::torzone | Player rights = TORMENTED_DONATOR	
[4/17/23 08:59AM] The Kins used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/17/23 08:59AM] The Kins used command ::ozone | Player rights = TORMENTED_DONATOR	
[4/17/23 08:59AM] The Kins used command ::ezone | Player rights = TORMENTED_DONATOR	
[4/17/23 09:07AM] The Kins used command ::Train | Player rights = TORMENTED_DONATOR	
[4/17/23 09:09AM] The Kins used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 09:10AM] The Kins used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 09:11AM] The Kins used command ::train | Player rights = TORMENTED_DONATOR	
[4/17/23 09:41AM] The Kins used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 09:42AM] The Kins used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 09:44AM] The Kins used command ::mereum | Player rights = TORMENTED_DONATOR	
[4/17/23 09:44AM] The Kins used command ::mereum | Player rights = TORMENTED_DONATOR	
[4/17/23 09:44AM] The Kins used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 09:45AM] The Kins used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 09:46AM] The Kins used command ::Train | Player rights = TORMENTED_DONATOR	
[4/17/23 09:47AM] The Kins used command ::Totem | Player rights = TORMENTED_DONATOR	
