[4/19/23 12:05PM] Voki used command ::starter | Player rights = PLAYER	
[4/19/23 12:05PM] Voki used command ::train | Player rights = PLAYER	
[4/19/23 12:05PM] Voki used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/19/23 12:09PM] Voki used command ::starter | Player rights = PLAYER	
[4/19/23 12:13PM] Voki used command ::bank | Player rights = PLAYER	
[4/19/23 12:13PM] Voki used command ::bank | Player rights = PLAYER	
[4/19/23 12:14PM] Voki used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:14PM] Voki used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Voki used command ::vot::voteboss | Player rights = PLAYER	
[4/19/23 12:15PM] Voki used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Voki used command ::nintails | Player rights = PLAYER	
[4/19/23 12:16PM] Voki used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Voki used command ::goldn | Player rights = PLAYER	
[4/19/23 12:17PM] Voki used command ::golden | Player rights = PLAYER	
[4/19/23 12:17PM] Voki used command ::meru::mereum | Player rights = PLAYER	
[4/19/23 12:17PM] Voki used command ::mereum | Player rights = PLAYER	
[4/19/23 12:17PM] Voki used command ::mereum | Player rights = PLAYER	
[4/19/23 12:17PM] Voki used command ::mereum | Player rights = PLAYER	
[4/19/23 12:18PM] Voki used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Voki used command ::golden | Player rights = PLAYER	
[4/19/23 12:19PM] Voki used command ::starter | Player rights = PLAYER	
[4/19/23 12:40PM] Voki used command ::reward1 | Player rights = PLAYER	
[4/19/23 12:40PM] Voki used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:43PM] Voki used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Voki used command ::voteboss | Player rights = PLAYER	
[4/19/23 01:03PM] Voki used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:13PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Voki used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Voki used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:21PM] Voki used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:52PM] Voki used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:13PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Voki used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:27PM] Voki used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:39PM] Voki used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:56PM] Voki used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:56PM] Voki used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:56PM] Voki used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:56PM] Voki used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Voki used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Voki used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Voki used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Voki used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Voki used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Voki used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Voki used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Voki used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:20PM] Voki used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:15PM] Voki used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:44PM] Voki used command ::veigar | Player rights = GRACEFUL_DONATOR	
