[4/16/23 08:04AM] Vet Ratskii used command ::bank | Player rights = PLAYER	
[4/16/23 08:04AM] Vet Ratskii used command ::home | Player rights = PLAYER	
[4/16/23 08:17AM] Vet Ratskii used command ::ref | Player rights = PLAYER	
[4/16/23 08:23AM] Vet Ratskii used command ::veigar | Player rights = PLAYER	
[4/16/23 08:23AM] Vet Ratskii used command ::ninetails | Player rights = PLAYER	
[4/16/23 08:24AM] Vet Ratskii used command ::golden | Player rights = PLAYER	
[4/16/23 08:24AM] Vet Ratskii used command ::menues | Player rights = PLAYER	
[4/16/23 08:26AM] Vet Ratskii used command ::home | Player rights = PLAYER	
[4/16/23 08:41AM] Vet Ratskii used command ::home | Player rights = PLAYER	
[4/16/23 08:53AM] Vet Ratskii used command ::veigar | Player rights = PLAYER	
[4/16/23 09:09AM] Vet Ratskii used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:21AM] Vet Ratskii used command ::yell everyonje make sure you have an afk acc at ::afk for free $$ | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:21AM] Vet Ratskii used command ::yell for free$$ | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Vet Ratskii used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Vet Ratskii used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Vet Ratskii used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Vet Ratskii used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Vet Ratskii used command ::MERUEM | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:25AM] Vet Ratskii used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:38AM] Vet Ratskii used command ::yell 100!!!!!!!!!! | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:38AM] Vet Ratskii used command ::yell WHERE ARE WE GOING? | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Vet Ratskii used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Vet Ratskii used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Vet Ratskii used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43AM] Vet Ratskii used command ::yell should add damage cap at globals | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43AM] Vet Ratskii used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Vet Ratskii used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Vet Ratskii used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Vet Ratskii used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Vet Ratskii used command ::mereum | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Vet Ratskii used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:52AM] Vet Ratskii used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Vet Ratskii used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] Vet Ratskii used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:44PM] Vet Ratskii used command ::ents | Player rights = CLERIC_DONATOR	
[4/16/23 01:49PM] Vet Ratskii used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:49PM] Vet Ratskii used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Vet Ratskii used command ::veigar | Player rights = CLERIC_DONATOR	
