[4/23/23 03:41AM] Jordy used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/23/23 03:45AM] Jordy used command ::home | Player rights = PLAYER	
[4/23/23 03:45AM] Jordy used command ::train | Player rights = PLAYER	
[4/23/23 03:52AM] Jordy used command ::train | Player rights = PLAYER	
[4/23/23 03:56AM] Jordy used command ::train | Player rights = PLAYER	
[4/23/23 05:20AM] Jordy used command ::dr | Player rights = PLAYER	
[4/23/23 05:31AM] Jordy used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:31AM] Jordy used command :: | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:12AM] Jordy used command ::;bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:12AM] Jordy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:30AM] Jordy used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:35AM] Jordy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:40AM] Jordy used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:40AM] Jordy used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:20AM] Jordy used command ::dr | Player rights = GRACEFUL_DONATOR	
