[4/15/23 03:47AM] Grim used command ::vote | Player rights = PLAYER	
[4/15/23 03:47AM] Grim used command ::totem | Player rights = PLAYER	
[4/15/23 03:47AM] Grim used command ::starter | Player rights = PLAYER	
[4/15/23 03:51AM] Grim used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:51AM] Grim used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:53AM] Grim used command ::refferal | Player rights = PLAYER	
[4/15/23 03:53AM] Grim used command ::ref | Player rights = PLAYER	
[4/15/23 03:58AM] Grim used command ::starter | Player rights = PLAYER	
[4/15/23 04:13AM] Grim used command ::voteboss | Player rights = PLAYER	
[4/15/23 04:13AM] Grim used command ::altar | Player rights = PLAYER	
[4/15/23 04:33AM] Grim used command ::totem | Player rights = PLAYER	
[4/15/23 04:33AM] Grim used command ::meruem | Player rights = PLAYER	
[4/15/23 04:57AM] Grim used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:57AM] Grim used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:59AM] Grim used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:44AM] Grim used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:36AM] Grim used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:40AM] Grim used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:41AM] Grim used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Grim used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:06PM] Grim used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:08PM] Grim used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:27PM] Grim used command ::bank | Player rights = GRACEFUL_DONATOR	
