[4/19/23 12:44PM] Itsjuzagame used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Itsjuzagame used command ::ref fpk merk | Player rights = PLAYER	
[4/19/23 12:45PM] Itsjuzagame used command ::vboss | Player rights = PLAYER	
[4/19/23 12:52PM] Itsjuzagame used command ::Afk | Player rights = PLAYER	
[4/19/23 12:52PM] Itsjuzagame used command ::store | Player rights = PLAYER	
[4/19/23 12:52PM] Itsjuzagame used command ::Shops | Player rights = PLAYER	
[4/19/23 12:52PM] Itsjuzagame used command ::hops | Player rights = PLAYER	
[4/19/23 12:52PM] Itsjuzagame used command ::Shops | Player rights = PLAYER	
[4/19/23 12:52PM] Itsjuzagame used command ::home | Player rights = PLAYER	
[4/19/23 12:53PM] Itsjuzagame used command ::Starter | Player rights = PLAYER	
[4/19/23 12:54PM] Itsjuzagame used command ::afk | Player rights = PLAYER	
[4/19/23 02:30PM] Itsjuzagame used command ::bis | Player rights = PLAYER	
[4/19/23 02:32PM] Itsjuzagame used command ::pos | Player rights = PLAYER	
[4/19/23 06:31PM] Itsjuzagame used command ::voted | Player rights = PLAYER	
[4/19/23 06:31PM] Itsjuzagame used command ::voted | Player rights = PLAYER	
[4/19/23 06:31PM] Itsjuzagame used command ::reward 1 | Player rights = PLAYER	
[4/19/23 09:32PM] Itsjuzagame used command ::afk | Player rights = PLAYER	
[4/20/23 03:14AM] Itsjuzagame used command ::afk | Player rights = PLAYER	
