[4/22/23 01:17PM] Ligmanuts used command ::train | Player rights = PLAYER	
[4/22/23 01:27PM] Ligmanuts used command ::vote | Player rights = PLAYER	
[4/22/23 01:29PM] Ligmanuts used command ::claimvote | Player rights = PLAYER	
[4/22/23 01:29PM] Ligmanuts used command ::claimvote | Player rights = PLAYER	
[4/22/23 01:30PM] Ligmanuts used command ::reward 1 all | Player rights = PLAYER	
[4/22/23 01:30PM] Ligmanuts used command ::voteboss | Player rights = PLAYER	
[4/22/23 01:45PM] Ligmanuts used command ::home | Player rights = PLAYER	
[4/22/23 01:47PM] Ligmanuts used command ::home | Player rights = PLAYER	
[4/22/23 02:32PM] Ligmanuts used command ::veigar | Player rights = PLAYER	
[4/22/23 02:33PM] Ligmanuts used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:34PM] Ligmanuts used command ::golden | Player rights = PLAYER	
[4/22/23 02:37PM] Ligmanuts used command ::home | Player rights = PLAYER	
[4/22/23 02:44PM] Ligmanuts used command ::rangers | Player rights = PLAYER	
[4/22/23 03:02PM] Ligmanuts used command ::home | Player rights = PLAYER	
[4/22/23 03:03PM] Ligmanuts used command ::::veiger | Player rights = PLAYER	
[4/22/23 03:03PM] Ligmanuts used command ::veigar | Player rights = PLAYER	
[4/22/23 03:05PM] Ligmanuts used command ::home | Player rights = PLAYER	
[4/22/23 03:32PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:32PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:32PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:33PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:35PM] Ligmanuts used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:46PM] Ligmanuts used command ::dragonite | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:49PM] Ligmanuts used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:50PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:03PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:32PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35PM] Ligmanuts used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:54PM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:02PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:05PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:09PM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:21PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:32PM] Ligmanuts used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:32PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34PM] Ligmanuts used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:35PM] Ligmanuts used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:39PM] Ligmanuts used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:02AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Ligmanuts used command ::viengar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32AM] Ligmanuts used command ::veingar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33AM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:35AM] Ligmanuts used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:50AM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:02AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:24AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:30AM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:38AM] Ligmanuts used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:40AM] Ligmanuts used command ::reward1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:41AM] Ligmanuts used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:44AM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:49AM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
<<<<<<< Updated upstream
[4/26/23 01:50AM] Ligmanuts used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:50AM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:52AM] Ligmanuts used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:52AM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:53AM] Ligmanuts used command ::afk | Player rights = GRACEFUL_DONATOR	
=======
[4/23/23 06:01PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:02PM] Ligmanuts used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:03PM] Ligmanuts used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:21PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:31PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:32PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:34PM] Ligmanuts used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:35PM] Ligmanuts used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:01PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:15PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:15PM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:15PM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:18PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:31PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:33PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:34PM] Ligmanuts used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:01PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:31PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:33PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:35PM] Ligmanuts used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:01PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:26PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:31PM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:33PM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:40PM] Ligmanuts used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:41PM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:50PM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:22AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:30AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:32AM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:33AM] Ligmanuts used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:35AM] Ligmanuts used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:39AM] Ligmanuts used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:49AM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:52AM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:01AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:25AM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:01AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:31AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:32AM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:33AM] Ligmanuts used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:44AM] Ligmanuts used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:01AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:31AM] Ligmanuts used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:32AM] Ligmanuts used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:34AM] Ligmanuts used command ::home | Player rights = GRACEFUL_DONATOR	
