[4/17/23 11:19AM] 2147m used command ::ref | Player rights = PLAYER	
[4/17/23 11:24AM] 2147m used command ::train | Player rights = PLAYER	
[4/17/23 11:28AM] 2147m used command ::train | Player rights = PLAYER	
[4/17/23 11:32AM] 2147m used command ::veigar | Player rights = PLAYER	
[4/17/23 11:38AM] 2147m used command ::zones | Player rights = PLAYER	
[4/17/23 11:38AM] 2147m used command ::train | Player rights = PLAYER	
[4/17/23 11:49AM] 2147m used command ::zones | Player rights = PLAYER	
[4/17/23 11:49AM] 2147m used command ::teleport | Player rights = PLAYER	
[4/17/23 11:52AM] 2147m used command ::meruem | Player rights = PLAYER	
[4/17/23 11:53AM] 2147m used command ::vboss | Player rights = PLAYER	
[4/17/23 11:54AM] 2147m used command ::golden | Player rights = PLAYER	
[4/17/23 11:55AM] 2147m used command ::veigar | Player rights = PLAYER	
[4/17/23 11:56AM] 2147m used command ::vboss | Player rights = PLAYER	
[4/17/23 11:58AM] 2147m used command ::tasks | Player rights = PLAYER	
[4/17/23 12:02PM] 2147m used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] 2147m used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:10PM] 2147m used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] 2147m used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] 2147m used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] 2147m used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] 2147m used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] 2147m used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] 2147m used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] 2147m used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] 2147m used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] 2147m used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:29PM] 2147m used command ::Yell sell 25$ bond | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] 2147m used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] 2147m used command ::meruem | Player rights = GRACEFUL_DONATOR	
