[4/21/23 07:56AM] Zuk used command ::vote | Player rights = PLAYER	
[4/21/23 07:56AM] Zuk used command ::ref | Player rights = PLAYER	
[4/21/23 07:57AM] Zuk used command ::reward 1 all  | Player rights = PLAYER	
[4/21/23 07:58AM] Zuk used command ::voteboss | Player rights = PLAYER	
[4/21/23 07:58AM] Zuk used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 08:01AM] Zuk used command ::train | Player rights = PLAYER	
[4/21/23 08:01AM] Zuk used command ::bank | Player rights = PLAYER	
[4/21/23 08:01AM] Zuk used command ::bank | Player rights = PLAYER	
[4/21/23 08:02AM] Zuk used command ::pos | Player rights = PLAYER	
[4/21/23 08:02AM] Zuk used command ::veigar | Player rights = PLAYER	
[4/21/23 08:04AM] Zuk used command ::donate | Player rights = PLAYER	
[4/21/23 08:04AM] Zuk used command ::train | Player rights = PLAYER	
[4/21/23 08:08AM] Zuk used command ::train | Player rights = PLAYER	
[4/21/23 08:10AM] Zuk used command ::pos | Player rights = PLAYER	
[4/21/23 08:10AM] Zuk used command ::home | Player rights = PLAYER	
[4/21/23 08:11AM] Zuk used command ::home | Player rights = PLAYER	
