[4/15/23 12:44AM] Mysterious used command ::ref | Player rights = PLAYER	
[4/15/23 12:45AM] Mysterious used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:48AM] Mysterious used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:50AM] Mysterious used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:58AM] Mysterious used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:59AM] Mysterious used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:59AM] Mysterious used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:59AM] Mysterious used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:00AM] Mysterious used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:00AM] Mysterious used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:01AM] Mysterious used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:02AM] Mysterious used command ::collector\ | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:05AM] Mysterious used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:07AM] Mysterious used command ::players | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:09AM] Mysterious used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:10AM] Mysterious used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:10AM] Mysterious used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:10AM] Mysterious used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:16AM] Mysterious used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:17AM] Mysterious used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:18AM] Mysterious used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:21AM] Mysterious used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:25AM] Mysterious used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:25AM] Mysterious used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:51AM] Mysterious used command ::zing | Player rights = CLERIC_DONATOR	
[4/15/23 01:51AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 01:52AM] Mysterious used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 01:55AM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 02:03AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 02:09AM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 02:21AM] Mysterious used command ::achievements | Player rights = CLERIC_DONATOR	
[4/15/23 02:28AM] Mysterious used command ::achievement | Player rights = CLERIC_DONATOR	
[4/15/23 02:28AM] Mysterious used command ::achieve | Player rights = CLERIC_DONATOR	
[4/15/23 02:28AM] Mysterious used command ::achievements | Player rights = CLERIC_DONATOR	
[4/15/23 02:31AM] Mysterious used command ::totem | Player rights = CLERIC_DONATOR	
