[4/19/23 09:44PM] Daddyhoho16 used command ::reff | Player rights = PLAYER	
[4/19/23 09:44PM] Daddyhoho16 used command ::ref | Player rights = PLAYER	
[4/19/23 09:45PM] Daddyhoho16 used command ::refer | Player rights = PLAYER	
[4/19/23 09:46PM] Daddyhoho16 used command ::freedonator | Player rights = PLAYER	
[4/19/23 09:46PM] Daddyhoho16 used command ::commands | Player rights = PLAYER	
[4/19/23 09:47PM] Daddyhoho16 used command ::home | Player rights = PLAYER	
[4/19/23 09:48PM] Daddyhoho16 used command ::refer | Player rights = PLAYER	
[4/19/23 09:49PM] Daddyhoho16 used command ::veigar | Player rights = PLAYER	
[4/19/23 09:52PM] Daddyhoho16 used command ::ref | Player rights = PLAYER	
[4/19/23 09:53PM] Daddyhoho16 used command ::home | Player rights = PLAYER	
[4/19/23 09:53PM] Daddyhoho16 used command ::bank | Player rights = PLAYER	
[4/19/23 09:58PM] Daddyhoho16 used command ::progress | Player rights = PLAYER	
[4/19/23 09:58PM] Daddyhoho16 used command ::train | Player rights = PLAYER	
[4/19/23 10:05PM] Daddyhoho16 used command ::train2 | Player rights = PLAYER	
[4/19/23 10:05PM] Daddyhoho16 used command ::train2 | Player rights = PLAYER	
[4/19/23 10:05PM] Daddyhoho16 used command ::commands | Player rights = PLAYER	
[4/19/23 10:05PM] Daddyhoho16 used command ::train1 | Player rights = PLAYER	
[4/19/23 10:05PM] Daddyhoho16 used command ::train | Player rights = PLAYER	
[4/19/23 10:05PM] Daddyhoho16 used command ::home | Player rights = PLAYER	
[4/19/23 10:18PM] Daddyhoho16 used command ::colection | Player rights = PLAYER	
[4/19/23 10:18PM] Daddyhoho16 used command ::collection | Player rights = PLAYER	
[4/19/23 10:19PM] Daddyhoho16 used command ::veigarf | Player rights = PLAYER	
[4/19/23 10:20PM] Daddyhoho16 used command ::veigar | Player rights = PLAYER	
[4/19/23 10:23PM] Daddyhoho16 used command ::collection | Player rights = PLAYER	
[4/19/23 10:23PM] Daddyhoho16 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:23PM] Daddyhoho16 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:24PM] Daddyhoho16 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:24PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:27PM] Daddyhoho16 used command ::collection | Player rights = GRACEFUL_DONATOR	
