[4/19/23 01:23AM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 01:25AM] Kabal used command ::starter | Player rights = PLAYER	
[4/19/23 01:27AM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 01:30AM] Kabal used command ::starter | Player rights = CLERIC_DONATOR	
[4/19/23 01:30AM] Kabal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 01:53AM] Kabal used command ::starter | Player rights = CLERIC_DONATOR	
[4/19/23 06:29PM] Kabal used command ::Homr | Player rights = PLAYER	
[4/19/23 06:29PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 06:32PM] Kabal used command ::dismiss | Player rights = PLAYER	
[4/19/23 06:35PM] Kabal used command ::starter | Player rights = PLAYER	
[4/19/23 06:35PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 06:39PM] Kabal used command ::starter | Player rights = PLAYER	
[4/19/23 06:40PM] Kabal used command ::vote | Player rights = PLAYER	
[4/19/23 06:41PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 06:43PM] Kabal used command ::starter | Player rights = PLAYER	
[4/19/23 06:45PM] Kabal used command ::Vboss | Player rights = PLAYER	
[4/19/23 06:46PM] Kabal used command ::starter | Player rights = PLAYER	
[4/19/23 06:46PM] Kabal used command ::Vboss | Player rights = PLAYER	
[4/19/23 06:47PM] Kabal used command ::starter | Player rights = PLAYER	
[4/19/23 06:51PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 07:03PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 07:07PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:08PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:10PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:11PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:12PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:13PM] Kabal used command ::Veigar | Player rights = PLAYER	
[4/19/23 07:17PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:19PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:22PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:28PM] Kabal used command ::Home | Player rights = PLAYER	
[4/19/23 07:29PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:31PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:32PM] Kabal used command ::slaayer | Player rights = PLAYER	
[4/19/23 07:32PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:33PM] Kabal used command ::slayert | Player rights = PLAYER	
[4/19/23 07:33PM] Kabal used command ::Slayer | Player rights = PLAYER	
[4/19/23 07:35PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:36PM] Kabal used command ::Slayer | Player rights = PLAYER	
[4/19/23 07:46PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:48PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 07:49PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:49PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 07:51PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:52PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:53PM] Kabal used command ::Slayer | Player rights = PLAYER	
[4/19/23 07:57PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 07:59PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 07:59PM] Kabal used command ::home | Player rights = PLAYER	
[4/19/23 08:01PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 08:02PM] Kabal used command ::slayer | Player rights = PLAYER	
[4/19/23 08:05PM] Kabal used command ::Elo | Player rights = PLAYER	
[4/19/23 08:05PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:05PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:08PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:08PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:08PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:09PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:14PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:14PM] Kabal used command ::starter | Player rights = PLAYER	
[4/19/23 08:15PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:15PM] Kabal used command ::elo | Player rights = PLAYER	
[4/19/23 08:16PM] Kabal used command ::elo | Player rights = PLAYER	
[4/20/23 12:27AM] Kabal used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:44AM] Kabal used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:51PM] Kabal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
