[4/21/23 07:27PM] Toasty used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/21/23 07:32PM] Toasty used command ::veigar | Player rights = PLAYER	
[4/21/23 07:48PM] Toasty used command ::pos | Player rights = PLAYER	
[4/21/23 07:49PM] Toasty used command ::pos | Player rights = PLAYER	
[4/21/23 08:02PM] Toasty used command ::vote | Player rights = PLAYER	
[4/21/23 08:02PM] Toasty used command ::veigar | Player rights = PLAYER	
[4/21/23 08:03PM] Toasty used command ::Reward 1 3 | Player rights = PLAYER	
[4/21/23 08:28PM] Toasty used command ::voteboss | Player rights = PLAYER	
[4/21/23 08:32PM] Toasty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Toasty used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Toasty used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:02PM] Toasty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:33PM] Toasty used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:33PM] Toasty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:33PM] Toasty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:34PM] Toasty used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:57PM] Toasty used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:01PM] Toasty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:03PM] Toasty used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:20PM] Toasty used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32PM] Toasty used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Toasty used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34PM] Toasty used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:38PM] Toasty used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:46PM] Toasty used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02PM] Toasty used command ::veigar | Player rights = GRACEFUL_DONATOR	
