[4/15/23 09:09AM] Kii used command ::donate | Player rights = PLAYER	
[4/15/23 09:17AM] Kii used command ::claim | Player rights = PLAYER	
[4/15/23 09:23AM] Kii used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 09:25AM] Kii used command ::Claim | Player rights = CLERIC_DONATOR	
[4/15/23 09:25AM] Kii used command ::Claim | Player rights = CLERIC_DONATOR	
[4/15/23 09:25AM] Kii used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 09:29AM] Kii used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:59AM] Kii used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 10:28AM] Kii used command ::ref walkchaos | Player rights = CLERIC_DONATOR	
[4/15/23 10:34AM] Kii used command ::npckills | Player rights = CLERIC_DONATOR	
[4/15/23 10:34AM] Kii used command ::npckc | Player rights = CLERIC_DONATOR	
[4/15/23 10:35AM] Kii used command ::kc | Player rights = CLERIC_DONATOR	
[4/15/23 10:35AM] Kii used command ::inferno kc | Player rights = CLERIC_DONATOR	
[4/15/23 11:15AM] Kii used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 11:20AM] Kii used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 11:13AM] Kii used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 11:13AM] Kii used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Kii used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Kii used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Kii used command ::meruem | Player rights = CLERIC_DONATOR	
