[4/16/23 08:38AM] Duke used command ::train | Player rights = PLAYER	
[4/16/23 08:43AM] Duke used command ::totem | Player rights = PLAYER	
[4/16/23 08:43AM] Duke used command ::train | Player rights = PLAYER	
[4/16/23 08:45AM] Duke used command ::bank | Player rights = PLAYER	
[4/16/23 08:53AM] Duke used command ::vote | Player rights = PLAYER	
[4/16/23 08:53AM] Duke used command ::veigar | Player rights = PLAYER	
[4/16/23 08:54AM] Duke used command ::train | Player rights = PLAYER	
[4/16/23 08:55AM] Duke used command ::reward1 | Player rights = PLAYER	
[4/16/23 08:55AM] Duke used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 08:58AM] Duke used command ::Voted | Player rights = PLAYER	
[4/16/23 09:02AM] Duke used command ::totem | Player rights = PLAYER	
[4/16/23 09:07AM] Duke used command ::train | Player rights = PLAYER	
[4/16/23 09:09AM] Duke used command ::voteboss | Player rights = PLAYER	
[4/16/23 09:09AM] Duke used command ::reward all 1 | Player rights = PLAYER	
[4/16/23 09:11AM] Duke used command ::train | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:22AM] Duke used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Duke used command ::nineai | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Duke used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Duke used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:29AM] Duke used command ::referall | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:29AM] Duke used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:29AM] Duke used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:29AM] Duke used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Duke used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Duke used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:46AM] Duke used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Duke used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Duke used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Duke used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] Duke used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:05AM] Duke used command ::yell runelocus | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23PM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:24PM] Duke used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:24PM] Duke used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:27PM] Duke used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:31PM] Duke used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:33PM] Duke used command ::droprate | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:43PM] Duke used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:44PM] Duke used command ::ents | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:53PM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:55PM] Duke used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:57PM] Duke used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:09PM] Duke used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:10PM] Duke used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:10PM] Duke used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:23PM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:25AM] Duke used command ::changepass | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:31AM] Duke used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:32AM] Duke used command ::reward all 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33AM] Duke used command ::rewardall1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33AM] Duke used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:39AM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Duke used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:41AM] Duke used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:50AM] Duke used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] Duke used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:10AM] Duke used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:11AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:11AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:11AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:11AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:11AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:11AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:11AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:17AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:17AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:39AM] Duke used command ::veigar# | Player rights = CLERIC_DONATOR	
[4/17/23 08:39AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:41AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
