[4/15/23 03:46AM] Don Chapo used command ::totem | Player rights = PLAYER	
[4/15/23 03:47AM] Don Chapo used command ::Train | Player rights = PLAYER	
[4/15/23 03:49AM] Don Chapo used command ::collection | Player rights = PLAYER	
[4/15/23 03:50AM] Don Chapo used command ::collection | Player rights = PLAYER	
[4/15/23 03:53AM] Don Chapo used command ::Ref | Player rights = PLAYER	
[4/15/23 03:54AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 03:54AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 03:54AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 03:54AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 03:54AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 03:54AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 03:56AM] Don Chapo used command ::train | Player rights = PLAYER	
[4/15/23 04:08AM] Don Chapo used command ::bank | Player rights = PLAYER	
[4/15/23 04:12AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 04:12AM] Don Chapo used command ::upgrade | Player rights = PLAYER	
[4/15/23 04:12AM] Don Chapo used command ::vboss | Player rights = PLAYER	
[4/15/23 04:13AM] Don Chapo used command ::veigar | Player rights = PLAYER	
[4/15/23 04:13AM] Don Chapo used command ::veigar | Player rights = PLAYER	
[4/15/23 04:28AM] Don Chapo used command ::meruem | Player rights = PLAYER	
[4/15/23 07:52AM] Don Chapo used command ::totem | Player rights = PLAYER	
[4/15/23 07:59AM] Don Chapo used command ::veigar | Player rights = PLAYER	
[4/15/23 07:59AM] Don Chapo used command ::achievements | Player rights = PLAYER	
[4/15/23 08:00AM] Don Chapo used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:02AM] Don Chapo used command ::meruem | Player rights = PLAYER	
[4/15/23 08:03AM] Don Chapo used command ::ape | Player rights = PLAYER	
[4/15/23 08:03AM] Don Chapo used command ::greatape | Player rights = PLAYER	
[4/15/23 08:03AM] Don Chapo used command ::ape | Player rights = PLAYER	
[4/15/23 08:03AM] Don Chapo used command ::golden | Player rights = PLAYER	
[4/15/23 08:26AM] Don Chapo used command ::bank | Player rights = PLAYER	
[4/15/23 08:28AM] Don Chapo used command ::veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Don Chapo used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:29AM] Don Chapo used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:30AM] Don Chapo used command ::meruem | Player rights = PLAYER	
[4/15/23 08:30AM] Don Chapo used command ::curses | Player rights = PLAYER	
[4/15/23 08:30AM] Don Chapo used command ::curseson | Player rights = PLAYER	
[4/15/23 08:30AM] Don Chapo used command ::commands | Player rights = PLAYER	
[4/15/23 08:30AM] Don Chapo used command ::tasks | Player rights = PLAYER	
[4/15/23 08:32AM] Don Chapo used command ::bis | Player rights = PLAYER	
[4/15/23 08:32AM] Don Chapo used command ::bis | Player rights = PLAYER	
[4/15/23 08:32AM] Don Chapo used command ::stats | Player rights = PLAYER	
[4/15/23 08:33AM] Don Chapo used command ::elo | Player rights = PLAYER	
[4/15/23 08:41AM] Don Chapo used command ::dailytasks | Player rights = PLAYER	
[4/15/23 08:42AM] Don Chapo used command ::tasks | Player rights = PLAYER	
[4/15/23 08:42AM] Don Chapo used command ::tasks | Player rights = PLAYER	
[4/15/23 08:43AM] Don Chapo used command ::commands | Player rights = PLAYER	
[4/15/23 08:43AM] Don Chapo used command ::dr | Player rights = PLAYER	
[4/15/23 08:43AM] Don Chapo used command ::ddr | Player rights = PLAYER	
[4/15/23 08:43AM] Don Chapo used command ::itemstats | Player rights = PLAYER	
[4/15/23 08:43AM] Don Chapo used command ::collection | Player rights = PLAYER	
[4/15/23 08:47AM] Don Chapo used command ::::achievements | Player rights = PLAYER	
[4/15/23 08:48AM] Don Chapo used command ::tasks | Player rights = PLAYER	
[4/15/23 08:52AM] Don Chapo used command ::collog | Player rights = PLAYER	
[4/15/23 08:52AM] Don Chapo used command ::collection | Player rights = PLAYER	
[4/15/23 08:58AM] Don Chapo used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Don Chapo used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:01AM] Don Chapo used command ::bank | Player rights = PLAYER	
[4/15/23 09:07AM] Don Chapo used command ::stats | Player rights = PLAYER	
[4/15/23 09:07AM] Don Chapo used command ::collection | Player rights = PLAYER	
[4/15/23 09:12AM] Don Chapo used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:13AM] Don Chapo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:13AM] Don Chapo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:20AM] Don Chapo used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:20AM] Don Chapo used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:20AM] Don Chapo used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:26AM] Don Chapo used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Don Chapo used command ::yell ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Don Chapo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Don Chapo used command ::yell ;;golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32AM] Don Chapo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:38AM] Don Chapo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:38AM] Don Chapo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:52AM] Don Chapo used command ::dailytasks | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:07AM] Don Chapo used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:22AM] Don Chapo used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Don Chapo used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Don Chapo used command ::malvek | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:34PM] Don Chapo used command ::colllog | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:34PM] Don Chapo used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:40PM] Don Chapo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:43PM] Don Chapo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:44PM] Don Chapo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:46PM] Don Chapo used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:47PM] Don Chapo used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53PM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:17AM] Don Chapo used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:39AM] Don Chapo used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:39AM] Don Chapo used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:55AM] Don Chapo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:28AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:30AM] Don Chapo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:53AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:23AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:26AM] Don Chapo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:43AM] Don Chapo used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:44AM] Don Chapo used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:53AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:09AM] Don Chapo used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:25AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:28AM] Don Chapo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:30AM] Don Chapo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:45AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:47AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Don Chapo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:53AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
