[4/20/23 08:43PM] Afk Army used command ::afk | Player rights = PLAYER	
[4/20/23 09:01PM] Afk Army used command ::afk | Player rights = PLAYER	
[4/20/23 09:03PM] Afk Army used command ::afk | Player rights = PLAYER	
[4/20/23 09:29PM] Afk Army used command ::afk | Player rights = PLAYER	
[4/21/23 08:45AM] Afk Army used command ::afk | Player rights = PLAYER	
[4/22/23 09:38AM] Afk Army used command ::afk | Player rights = PLAYER	
[4/22/23 01:28PM] Afk Army used command ::afk | Player rights = PLAYER	
[4/22/23 06:05PM] Afk Army used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/22/23 06:05PM] Afk Army used command ::refer | Player rights = PLAYER	
[4/22/23 06:06PM] Afk Army used command ::afk | Player rights = PLAYER	
[4/23/23 07:25PM] Afk Army used command ::afk | Player rights = PLAYER	
[4/25/23 12:42AM] Afk Army used command ::afk | Player rights = PLAYER	
[4/25/23 01:31AM] Afk Army used command ::afk | Player rights = PLAYER	
[4/25/23 07:17AM] Afk Army used command ::afk | Player rights = PLAYER	
[4/25/23 12:39PM] Afk Army used command ::afk | Player rights = PLAYER	
