[4/20/23 09:21AM] Baka used command ::Starter | Player rights = PLAYER	
[4/20/23 09:45AM] Baka used command ::train | Player rights = PLAYER	
[4/20/23 09:57AM] Baka used command ::home::home | Player rights = PLAYER	
[4/20/23 09:57AM] Baka used command ::home | Player rights = PLAYER	
[4/20/23 09:57AM] Baka used command ::home | Player rights = PLAYER	
[4/20/23 09:57AM] Baka used command ::bank | Player rights = PLAYER	
[4/20/23 10:06AM] Baka used command ::zinqrux | Player rights = PLAYER	
[4/20/23 10:07AM] Baka used command ::zinqrux | Player rights = PLAYER	
[4/20/23 10:07AM] Baka used command ::but for example i want to go to zenqrux how can i tp there | Player rights = PLAYER	
[4/20/23 03:46PM] Baka used command ::vote | Player rights = PLAYER	
[4/20/23 03:49PM] Baka used command ::home | Player rights = PLAYER	
[4/20/23 03:49PM] Baka used command ::viegar | Player rights = PLAYER	
[4/20/23 03:49PM] Baka used command ::veifar | Player rights = PLAYER	
[4/20/23 03:49PM] Baka used command ::veigar | Player rights = PLAYER	
[4/20/23 04:03PM] Baka used command ::reward 1 | Player rights = PLAYER	
[4/20/23 04:05PM] Baka used command ::home | Player rights = PLAYER	
[4/20/23 04:05PM] Baka used command ::Reward 1 all | Player rights = PLAYER	
[4/20/23 04:06PM] Baka used command ::Reward 1 all | Player rights = PLAYER	
[4/20/23 04:06PM] Baka used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 04:06PM] Baka used command ::pos | Player rights = PLAYER	
[4/20/23 04:22PM] Baka used command ::Home | Player rights = PLAYER	
[4/20/23 04:43PM] Baka used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Baka used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Baka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:49PM] Baka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:12PM] Baka used command ::: | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:14AM] Baka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:17AM] Baka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:17AM] Baka used command ::reward all | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:18AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:18AM] Baka used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:18AM] Baka used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:18AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:18AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:42AM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:29PM] Baka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:30PM] Baka used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33PM] Baka used command ::nincetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33PM] Baka used command ::nincetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Baka used command ::/i never get any drops from bosses weird | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:38PM] Baka used command ::answer 555m | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:44PM] Baka used command ::rangers | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:46PM] Baka used command ::ref noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:46PM] Baka used command ::refer noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:49PM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:54PM] Baka used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:54PM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:58PM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:01PM] Baka used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:01PM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:10PM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:15PM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Baka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:28AM] Baka used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:30AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:30AM] Baka used command ::Reward all | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:31AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:31AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:31AM] Baka used command ::claim 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:31AM] Baka used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:31AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:31AM] Baka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:32AM] Baka used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 08:48AM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:04AM] Baka used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:05AM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:09AM] Baka used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:27AM] Baka used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:27AM] Baka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:40AM] Baka used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:47AM] Baka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:54AM] Baka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:09AM] Baka used command ::Store | Player rights = GRACEFUL_DONATOR	
