[4/22/23 09:49PM] Medusa used command ::Vote | Player rights = PLAYER	
[4/22/23 09:50PM] Medusa used command ::Voteboss | Player rights = PLAYER	
[4/22/23 09:52PM] Medusa used command ::reward 1 | Player rights = PLAYER	
[4/22/23 09:52PM] Medusa used command ::voteboss | Player rights = PLAYER	
[4/22/23 10:32PM] Medusa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33PM] Medusa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Medusa used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Medusa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Medusa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Medusa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:04PM] Medusa used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Medusa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 12:32PM] Medusa used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 12:34PM] Medusa used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/26/23 12:34PM] Medusa used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 12:35PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 12:44PM] Medusa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 02:03PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 02:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 05:03PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 05:07PM] Medusa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 05:33PM] Medusa used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 05:35PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:04PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 06:07PM] Medusa used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 06:35PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 07:03PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 07:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 07:07PM] Medusa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 07:49PM] Medusa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 08:05PM] Medusa used command ::Veiga | Player rights = CLERIC_DONATOR	
[4/26/23 08:05PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:07PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 08:35PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:03PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:08PM] Medusa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:09PM] Medusa used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 10:35PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:41PM] Medusa used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 11:04PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 11:07PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 11:10PM] Medusa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 11:21PM] Medusa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 11:35PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 11:58PM] Medusa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 12:04AM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 12:06AM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 12:08AM] Medusa used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 01:35PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 01:59PM] Medusa used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/27/23 02:00PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 02:01PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 02:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 03:31PM] Medusa used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 03:35PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 03:38PM] Medusa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 04:05PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 04:27PM] Medusa used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 04:35PM] Medusa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:00PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:02PM] Medusa used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 05:03PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 05:04PM] Medusa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 05:05PM] Medusa used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 05:06PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:07PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 05:08PM] Medusa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 05:16PM] Medusa used command ::shops | Player rights = CLERIC_DONATOR	
[4/27/23 05:35PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:48PM] Medusa used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 06:04PM] Medusa used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/27/23 06:06PM] Medusa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 06:07PM] Medusa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 08:10PM] Medusa used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 08:21PM] Medusa used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 08:34PM] Medusa used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 08:54PM] Medusa used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/27/23 09:07PM] Medusa used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 09:08PM] Medusa used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 09:10PM] Medusa used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 09:11PM] Medusa used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 09:11PM] Medusa used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 09:19PM] Medusa used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 09:34PM] Medusa used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 09:35PM] Medusa used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 09:47PM] Medusa used command ::votebosskk | Player rights = TORMENTED_DONATOR	
[4/27/23 09:48PM] Medusa used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/27/23 10:02PM] Medusa used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 10:05PM] Medusa used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 10:07PM] Medusa used command ::ninetails | Player rights = TORMENTED_DONATOR	
