[4/16/23 10:12PM] Jono used command ::starter | Player rights = PLAYER	
[4/16/23 10:13PM] Jono used command ::ref merk | Player rights = PLAYER	
[4/16/23 10:13PM] Jono used command ::ref | Player rights = PLAYER	
[4/16/23 10:15PM] Jono used command ::starter | Player rights = PLAYER	
[4/16/23 10:16PM] Jono used command ::dtarter | Player rights = PLAYER	
[4/16/23 10:16PM] Jono used command ::starter | Player rights = PLAYER	
[4/16/23 10:20PM] Jono used command ::starter | Player rights = PLAYER	
[4/16/23 10:27PM] Jono used command ::starter | Player rights = PLAYER	
[4/16/23 10:32PM] Jono used command ::starter | Player rights = PLAYER	
[4/16/23 10:40PM] Jono used command ::home | Player rights = PLAYER	
[4/16/23 10:46PM] Jono used command ::stats | Player rights = PLAYER	
[4/16/23 10:48PM] Jono used command ::bank | Player rights = PLAYER	
[4/16/23 10:56PM] Jono used command ::monster | Player rights = PLAYER	
[4/16/23 10:56PM] Jono used command ::tele | Player rights = PLAYER	
[4/16/23 10:56PM] Jono used command ::commands | Player rights = PLAYER	
[4/16/23 10:59PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:00PM] Jono used command ::zones | Player rights = PLAYER	
[4/16/23 11:09PM] Jono used command ::vote | Player rights = PLAYER	
[4/16/23 11:10PM] Jono used command ::viegar | Player rights = PLAYER	
[4/16/23 11:10PM] Jono used command ::veigar | Player rights = PLAYER	
[4/16/23 11:14PM] Jono used command ::home | Player rights = PLAYER	
[4/16/23 11:17PM] Jono used command ::voted | Player rights = PLAYER	
[4/16/23 11:17PM] Jono used command ::claimvote | Player rights = PLAYER	
[4/16/23 11:17PM] Jono used command ::claim | Player rights = PLAYER	
[4/16/23 11:17PM] Jono used command ::voted | Player rights = PLAYER	
[4/16/23 11:17PM] Jono used command ::commands | Player rights = PLAYER	
[4/16/23 11:17PM] Jono used command ::voted | Player rights = PLAYER	
[4/16/23 11:39PM] Jono used command ::veigar | Player rights = PLAYER	
[4/16/23 11:46PM] Jono used command ::ninetails | Player rights = PLAYER	
[4/16/23 11:48PM] Jono used command ::ninetails | Player rights = PLAYER	
[4/16/23 11:54PM] Jono used command ::voted | Player rights = PLAYER	
[4/17/23 12:08AM] Jono used command ::home | Player rights = PLAYER	
[4/17/23 12:09AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 12:22AM] Jono used command ::veidar | Player rights = PLAYER	
[4/17/23 12:22AM] Jono used command ::veirdar | Player rights = PLAYER	
[4/17/23 12:22AM] Jono used command ::commands | Player rights = PLAYER	
[4/17/23 12:22AM] Jono used command ::global | Player rights = PLAYER	
[4/17/23 12:23AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 12:32AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 12:32AM] Jono used command ::home | Player rights = PLAYER	
[4/17/23 12:37AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 12:39AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:41AM] Jono used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:43AM] Jono used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:47AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:48AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:49AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:50AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:50AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:51AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:54AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 12:55AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 01:10AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 01:10AM] Jono used command ::ninetails | Player rights = PLAYER	
[4/17/23 01:10AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 01:10AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 01:17AM] Jono used command ::voted | Player rights = PLAYER	
[4/17/23 01:21AM] Jono used command ::home | Player rights = PLAYER	
[4/17/23 02:10AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 02:11AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 03:10AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 03:21AM] Jono used command ::claim | Player rights = PLAYER	
[4/17/23 03:22AM] Jono used command ::claim | Player rights = PLAYER	
[4/17/23 03:22AM] Jono used command ::claim | Player rights = PLAYER	
[4/17/23 03:39AM] Jono used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:39AM] Jono used command ::veigar | Player rights = PLAYER	
[4/17/23 03:41AM] Jono used command ::REWARD | Player rights = PLAYER	
[4/17/23 03:41AM] Jono used command ::reward 1 all | Player rights = PLAYER	
[4/17/23 03:41AM] Jono used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:42AM] Jono used command ::meruem | Player rights = PLAYER	
[4/17/23 03:43AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 03:44AM] Jono used command ::golden | Player rights = PLAYER	
[4/17/23 03:44AM] Jono used command ::home | Player rights = PLAYER	
[4/17/23 03:50AM] Jono used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:51AM] Jono used command ::skilling | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:51AM] Jono used command ::sill | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:51AM] Jono used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:51AM] Jono used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:51AM] Jono used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:52AM] Jono used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:52AM] Jono used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:52AM] Jono used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:09AM] Jono used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:11AM] Jono used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:54AM] Jono used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:58AM] Jono used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:06AM] Jono used command ::stats | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:18AM] Jono used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:20AM] Jono used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:20AM] Jono used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:40AM] Jono used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:41AM] Jono used command ::yell buying good bow 50k  | Player rights = GRACEFUL_DONATOR	
