[4/15/23 02:55PM] T A C O used command ::train | Player rights = PLAYER	
[4/15/23 02:57PM] T A C O used command ::train | Player rights = PLAYER	
[4/15/23 02:58PM] T A C O used command ::veigar | Player rights = PLAYER	
[4/15/23 03:01PM] T A C O used command ::train | Player rights = PLAYER	
[4/15/23 03:03PM] T A C O used command ::home | Player rights = PLAYER	
[4/15/23 03:05PM] T A C O used command ::bank | Player rights = PLAYER	
[4/15/23 03:05PM] T A C O used command ::home | Player rights = PLAYER	
[4/15/23 03:05PM] T A C O used command ::trian | Player rights = PLAYER	
[4/15/23 03:05PM] T A C O used command ::vote | Player rights = PLAYER	
[4/15/23 03:06PM] T A C O used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:06PM] T A C O used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:06PM] T A C O used command ::train | Player rights = PLAYER	
[4/15/23 03:08PM] T A C O used command ::train | Player rights = PLAYER	
[4/15/23 03:15PM] T A C O used command ::train | Player rights = PLAYER	
[4/15/23 03:17PM] T A C O used command ::refer walkchaos | Player rights = PLAYER	
[4/15/23 03:17PM] T A C O used command ::walkchaos | Player rights = PLAYER	
[4/15/23 03:22PM] T A C O used command ::train | Player rights = PLAYER	
[4/15/23 03:25PM] T A C O used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:28PM] T A C O used command ::starter | Player rights = PLAYER	
[4/15/23 03:28PM] T A C O used command ::veigar | Player rights = PLAYER	
[4/15/23 03:31PM] T A C O used command ::ge | Player rights = PLAYER	
[4/15/23 03:31PM] T A C O used command ::ah | Player rights = PLAYER	
[4/15/23 03:32PM] T A C O used command ::home | Player rights = PLAYER	
[4/15/23 03:45PM] T A C O used command ::home | Player rights = PLAYER	
[4/15/23 03:48PM] T A C O used command ::zones | Player rights = PLAYER	
[4/15/23 03:52PM] T A C O used command ::home | Player rights = PLAYER	
[4/15/23 03:59PM] T A C O used command ::veigar | Player rights = PLAYER	
[4/15/23 04:03PM] T A C O used command ::afk | Player rights = PLAYER	
[4/16/23 09:41AM] T A C O used command ::meruem | Player rights = PLAYER	
[4/16/23 09:42AM] T A C O used command ::veigar | Player rights = PLAYER	
[4/16/23 09:44AM] T A C O used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:44AM] T A C O used command ::dr | Player rights = PLAYER	
[4/16/23 09:46AM] T A C O used command ::golden | Player rights = PLAYER	
[4/16/23 09:47AM] T A C O used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] T A C O used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] T A C O used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] T A C O used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:50AM] T A C O used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:50AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:09AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:14AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] T A C O used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] T A C O used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] T A C O used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:30AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:34AM] T A C O used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:43AM] T A C O used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:52AM] T A C O used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] T A C O used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:54AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:04AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:23AM] T A C O used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] T A C O used command :::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] T A C O used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] T A C O used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] T A C O used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] T A C O used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:25AM] T A C O used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:25AM] T A C O used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:26AM] T A C O used command ::reward1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:27AM] T A C O used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:27AM] T A C O used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:27AM] T A C O used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:27AM] T A C O used command ::reward1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:27AM] T A C O used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:28AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:30AM] T A C O used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:33AM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:54AM] T A C O used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:58AM] T A C O used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:10PM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23PM] T A C O used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:33PM] T A C O used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:40PM] T A C O used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:40PM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:44PM] T A C O used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:51PM] T A C O used command ::mystic | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53PM] T A C O used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:06PM] T A C O used command ::home | Player rights = GRACEFUL_DONATOR	
