[4/15/23 06:10AM] Djnj used command ::totem | Player rights = PLAYER	
[4/15/23 06:11AM] Djnj used command ::train | Player rights = PLAYER	
[4/15/23 06:14AM] Djnj used command ::train | Player rights = PLAYER	
[4/15/23 06:15AM] Djnj used command ::ref | Player rights = PLAYER	
[4/15/23 06:25AM] Djnj used command ::train | Player rights = PLAYER	
[4/15/23 09:59AM] Djnj used command ::veigar | Player rights = PLAYER	
[4/15/23 10:28PM] Djnj used command ::voteboss | Player rights = PLAYER	
[4/15/23 10:35PM] Djnj used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:43PM] Djnj used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:53PM] Djnj used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Djnj used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24AM] Djnj used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53AM] Djnj used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Djnj used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:27AM] Djnj used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Djnj used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Djnj used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Djnj used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:21AM] Djnj used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Djnj used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:25AM] Djnj used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/16/23 07:26AM] Djnj used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 07:26AM] Djnj used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] Djnj used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] Djnj used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:30AM] Djnj used command ::shops | Player rights = CLERIC_DONATOR	
[4/16/23 07:55AM] Djnj used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 07:56AM] Djnj used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:24AM] Djnj used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:34AM] Djnj used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Djnj used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 12:54PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:55PM] Djnj used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 01:22PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Djnj used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:45PM] Djnj used command ::ents | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:22PM] Djnj used command ::eigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:22PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Djnj used command ::mereumn | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Djnj used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Djnj used command ::mureum | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Djnj used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Djnj used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Djnj used command ::muremum' | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:44PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:46PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:18PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 05:32PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Djnj used command ::Ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Djnj used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 08:48AM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:02AM] Djnj used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:04AM] Djnj used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:07AM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:14AM] Djnj used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 07:15AM] Djnj used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Djnj used command ::claim | Player rights = CLERIC_DONATOR	
[4/19/23 07:22AM] Djnj used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:31AM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:32AM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:37AM] Djnj used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 07:39AM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:11AM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:04AM] Djnj used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Djnj used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 02:19PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:26PM] Djnj used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 02:27PM] Djnj used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:54PM] Djnj used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 07:36PM] Djnj used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:46PM] Djnj used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 07:48PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:04PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:07PM] Djnj used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Djnj used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Djnj used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Djnj used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:27PM] Djnj used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Djnj used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Djnj used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:05PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:09PM] Djnj used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:24PM] Djnj used command ::store | Player rights = CLERIC_DONATOR	
[4/20/23 02:26PM] Djnj used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 02:27PM] Djnj used command ::claim | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Djnj used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 02:50PM] Djnj used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/20/23 03:03PM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:19PM] Djnj used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 03:20PM] Djnj used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 03:21PM] Djnj used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 03:22PM] Djnj used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 04:51PM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:19PM] Djnj used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 05:20PM] Djnj used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 05:21PM] Djnj used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 05:49PM] Djnj used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 06:14PM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:03AM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:07AM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:54AM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:38AM] Djnj used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] Djnj used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:43AM] Djnj used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:45AM] Djnj used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 09:42PM] Djnj used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 09:44PM] Djnj used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 06:06AM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:08AM] Djnj used command ::store | Player rights = TORMENTED_DONATOR	
[4/23/23 07:10AM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:53AM] Djnj used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/23/23 10:54AM] Djnj used command ::store | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Djnj used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 06:01PM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 09:24AM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 10:08AM] Djnj used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 07:20PM] Djnj used command ::pos | Player rights = TORMENTED_DONATOR	
