[4/16/23 03:18AM] Resi used command ::Ref | Player rights = PLAYER	
[4/16/23 03:23AM] Resi used command ::veigar | Player rights = PLAYER	
[4/16/23 03:25AM] Resi used command ::ninetails | Player rights = PLAYER	
[4/16/23 03:26AM] Resi used command ::meruem | Player rights = PLAYER	
[4/16/23 03:28AM] Resi used command ::Vote | Player rights = PLAYER	
[4/16/23 03:28AM] Resi used command ::train | Player rights = PLAYER	
[4/16/23 03:29AM] Resi used command ::Voteboss | Player rights = PLAYER	
[4/16/23 03:53AM] Resi used command ::veigar | Player rights = PLAYER	
[4/16/23 03:53AM] Resi used command ::veigar | Player rights = PLAYER	
[4/16/23 03:54AM] Resi used command ::voteboss | Player rights = PLAYER	
[4/16/23 04:41AM] Resi used command ::dr | Player rights = PLAYER	
[4/16/23 04:44AM] Resi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:46AM] Resi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:47AM] Resi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Resi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Resi used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Resi used command ::merurm | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:49AM] Resi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:46AM] Resi used command ::train | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53AM] Resi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:55AM] Resi used command ::train | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:01AM] Resi used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:01AM] Resi used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Resi used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:27AM] Resi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Resi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:30AM] Resi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:30AM] Resi used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Resi used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:34AM] Resi used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:34AM] Resi used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:14AM] Resi used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Resi used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Resi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:33AM] Resi used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:34AM] Resi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:41AM] Resi used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:50AM] Resi used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:50AM] Resi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53AM] Resi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:55AM] Resi used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:56AM] Resi used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:00AM] Resi used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:02AM] Resi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:06AM] Resi used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:12AM] Resi used command ::claimm | Player rights = CLERIC_DONATOR	
[4/16/23 09:12AM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 09:21AM] Resi used command ::players | Player rights = CLERIC_DONATOR	
[4/16/23 09:21AM] Resi used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 09:27AM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:27AM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:28AM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:28AM] Resi used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/16/23 09:38AM] Resi used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Resi used command ::players | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:41AM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Resi used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Resi used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Resi used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Resi used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:58AM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 09:58AM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 10:00AM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 10:22AM] Resi used command ::raids | Player rights = CLERIC_DONATOR	
[4/16/23 10:22AM] Resi used command ::Raid | Player rights = CLERIC_DONATOR	
[4/16/23 10:24AM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:54AM] Resi used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 11:16AM] Resi used command ::Afk | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:25PM] Resi used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 12:25PM] Resi used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 12:49PM] Resi used command ::save | Player rights = CLERIC_DONATOR	
[4/16/23 12:52PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:55PM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 01:22PM] Resi used command ::Vote | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:44PM] Resi used command ::Ents | Player rights = CLERIC_DONATOR	
[4/16/23 01:44PM] Resi used command ::ents | Player rights = CLERIC_DONATOR	
[4/16/23 01:47PM] Resi used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 01:52PM] Resi used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:58PM] Resi used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 02:27PM] Resi used command ::Bosses | Player rights = CLERIC_DONATOR	
[4/16/23 02:32PM] Resi used command ::Claim | Player rights = CLERIC_DONATOR	
[4/16/23 02:52PM] Resi used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:57PM] Resi used command ::Dissolve | Player rights = CLERIC_DONATOR	
[4/16/23 02:57PM] Resi used command ::dissolveall | Player rights = CLERIC_DONATOR	
[4/16/23 03:09PM] Resi used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 03:21PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:27PM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:34PM] Resi used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 03:35PM] Resi used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:35PM] Resi used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:35PM] Resi used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:52PM] Resi used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:36PM] Resi used command ::Claim | Player rights = CLERIC_DONATOR	
[4/16/23 04:53PM] Resi used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:02PM] Resi used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:03PM] Resi used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:06PM] Resi used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:22PM] Resi used command ::veirga | Player rights = CLERIC_DONATOR	
[4/16/23 05:22PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] Resi used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:49AM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 09:04AM] Resi used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 09:09AM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:39AM] Resi used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Resi used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Resi used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Resi used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Resi used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:18PM] Resi used command ::claim | Player rights = CLERIC_DONATOR	
[4/17/23 01:25PM] Resi used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Resi used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Resi used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:01PM] Resi used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:08PM] Resi used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:11PM] Resi used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Resi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Resi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Resi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Resi used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:00PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:00PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:02PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:13PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:14PM] Resi used command ::Totem | Player rights = TORMENTED_DONATOR	
[4/17/23 03:17PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:17PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:30PM] Resi used command ::Claim | Player rights = TORMENTED_DONATOR	
[4/17/23 03:31PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:34PM] Resi used command ::ninetailks | Player rights = TORMENTED_DONATOR	
[4/17/23 03:34PM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 03:49PM] Resi used command ::Store | Player rights = TORMENTED_DONATOR	
[4/17/23 03:50PM] Resi used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/17/23 03:50PM] Resi used command ::Donorzone | Player rights = TORMENTED_DONATOR	
[4/17/23 03:58PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:02PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:03PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:10PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:11PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:13PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
