[4/19/23 10:39PM] Triangle used command ::train | Player rights = PLAYER	
[4/19/23 10:49PM] Triangle used command ::veiger | Player rights = PLAYER	
[4/19/23 10:49PM] Triangle used command ::veigar | Player rights = PLAYER	
[4/19/23 10:57PM] Triangle used command ::pos | Player rights = PLAYER	
[4/20/23 06:51AM] Triangle used command ::wr3cked | Player rights = PLAYER	
[4/20/23 06:52AM] Triangle used command ::ref w3reckedyou | Player rights = PLAYER	
[4/20/23 06:53AM] Triangle used command ::wboss | Player rights = PLAYER	
[4/20/23 06:58AM] Triangle used command ::progress | Player rights = PLAYER	
[4/20/23 07:18AM] Triangle used command ::veigar | Player rights = PLAYER	
[4/20/23 07:19AM] Triangle used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:19AM] Triangle used command ::meruem | Player rights = PLAYER	
[4/20/23 07:19AM] Triangle used command ::veigar | Player rights = PLAYER	
[4/20/23 07:21AM] Triangle used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:22AM] Triangle used command ::meruem | Player rights = PLAYER	
[4/20/23 07:22AM] Triangle used command ::meruem | Player rights = PLAYER	
[4/20/23 07:23AM] Triangle used command ::vote | Player rights = PLAYER	
[4/20/23 07:29AM] Triangle used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:29AM] Triangle used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:29AM] Triangle used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:29AM] Triangle used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:29AM] Triangle used command ::reward 1 | Player rights = PLAYER	
[4/20/23 07:29AM] Triangle used command ::donate | Player rights = PLAYER	
[4/20/23 07:34AM] Triangle used command ::voteboss | Player rights = PLAYER	
[4/20/23 07:34AM] Triangle used command ::hidepets | Player rights = PLAYER	
[4/20/23 07:49AM] Triangle used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:59AM] Triangle used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:19AM] Triangle used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:21AM] Triangle used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Triangle used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:32PM] Triangle used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:35PM] Triangle used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:08AM] Triangle used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:10AM] Triangle used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:21AM] Triangle used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:40AM] Triangle used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:40AM] Triangle used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:40AM] Triangle used command ::bank | Player rights = GRACEFUL_DONATOR	
