[4/18/23 12:33AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/18/23 12:33AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/18/23 12:33AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/18/23 12:33AM] Afklyfe used command ::shop | Player rights = PLAYER	
[4/18/23 12:34AM] Afklyfe used command ::shops | Player rights = PLAYER	
[4/18/23 12:35AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/18/23 11:01PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/19/23 12:39AM] Afklyfe used command ::home | Player rights = PLAYER	
[4/19/23 12:40AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/19/23 07:49AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/19/23 08:02AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/19/23 08:04AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/19/23 09:49AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/19/23 10:22PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/20/23 10:20AM] Afklyfe used command ::vboss | Player rights = PLAYER	
[4/20/23 10:20AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/20/23 12:28PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/20/23 03:51PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/20/23 10:05PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/21/23 12:34AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/21/23 12:34PM] Afklyfe used command ::donate | Player rights = PLAYER	
[4/21/23 12:34PM] Afklyfe used command ::loots | Player rights = PLAYER	
[4/21/23 12:34PM] Afklyfe used command ::loots | Player rights = PLAYER	
[4/21/23 05:12PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/21/23 06:59PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/21/23 09:59PM] Afklyfe used command ::vboss | Player rights = PLAYER	
[4/21/23 10:01PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/22/23 09:03PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/23/23 11:38AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/23/23 12:19PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/23/23 12:41PM] Afklyfe used command ::afk | Player rights = PLAYER	
<<<<<<< Updated upstream
[4/26/23 01:15AM] Afklyfe used command ::afk | Player rights = PLAYER	
=======
[4/24/23 09:34AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/24/23 11:21AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/24/23 03:03PM] Afklyfe used command ::slayer | Player rights = PLAYER	
[4/24/23 03:05PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/24/23 03:12PM] Afklyfe used command ::pos | Player rights = PLAYER	
[4/24/23 10:23PM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/25/23 09:25AM] Afklyfe used command ::afk | Player rights = PLAYER	
[4/25/23 08:30PM] Afklyfe used command ::afk | Player rights = PLAYER	
>>>>>>> Stashed changes
