[4/18/23 07:52AM] Forest used command ::ref | Player rights = PLAYER	
[4/18/23 07:54AM] Forest used command ::train | Player rights = PLAYER	
[4/18/23 07:56AM] Forest used command ::train | Player rights = PLAYER	
[4/18/23 07:58AM] Forest used command ::Train | Player rights = PLAYER	
[4/18/23 08:03AM] Forest used command ::train | Player rights = PLAYER	
[4/18/23 08:05AM] Forest used command ::train | Player rights = PLAYER	
[4/18/23 08:10AM] Forest used command ::train | Player rights = PLAYER	
[4/18/23 08:11AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 08:41AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 08:42AM] Forest used command ::ninetails | Player rights = PLAYER	
[4/18/23 08:42AM] Forest used command ::meruem | Player rights = PLAYER	
[4/18/23 09:11AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 09:14AM] Forest used command ::voteboss | Player rights = PLAYER	
[4/18/23 09:41AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 10:11AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 10:41AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 10:42AM] Forest used command ::ninetails | Player rights = PLAYER	
[4/18/23 10:42AM] Forest used command ::meruem | Player rights = PLAYER	
[4/18/23 10:42AM] Forest used command ::golden | Player rights = PLAYER	
[4/18/23 11:11AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 11:41AM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 11:56AM] Forest used command ::maxhit | Player rights = PLAYER	
[4/18/23 11:56AM] Forest used command ::maxhit | Player rights = PLAYER	
[4/18/23 12:11PM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 12:16PM] Forest used command ::voteboss | Player rights = PLAYER	
[4/18/23 12:18PM] Forest used command ::pos | Player rights = PLAYER	
[4/18/23 12:18PM] Forest used command ::pos | Player rights = PLAYER	
[4/18/23 12:18PM] Forest used command ::home | Player rights = PLAYER	
[4/18/23 12:18PM] Forest used command ::pos | Player rights = PLAYER	
[4/18/23 12:20PM] Forest used command ::vote | Player rights = PLAYER	
[4/18/23 12:21PM] Forest used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 04:11PM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 04:12PM] Forest used command ::slayer | Player rights = PLAYER	
[4/18/23 04:15PM] Forest used command ::voteboss | Player rights = PLAYER	
[4/18/23 04:15PM] Forest used command ::merum | Player rights = PLAYER	
[4/18/23 04:15PM] Forest used command ::meruem | Player rights = PLAYER	
[4/18/23 04:16PM] Forest used command ::Home | Player rights = PLAYER	
[4/18/23 04:35PM] Forest used command ::slayer | Player rights = PLAYER	
[4/18/23 04:40PM] Forest used command ::slayer | Player rights = PLAYER	
[4/18/23 04:41PM] Forest used command ::veigar | Player rights = PLAYER	
[4/18/23 04:41PM] Forest used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:42PM] Forest used command ::meruem | Player rights = PLAYER	
[4/18/23 04:42PM] Forest used command ::golden | Player rights = PLAYER	
[4/18/23 04:52PM] Forest used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Forest used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:11PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:14PM] Forest used command ::task | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Forest used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:32PM] Forest used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:33PM] Forest used command ::meurem | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:33PM] Forest used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:35PM] Forest used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:38PM] Forest used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:39PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Forest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:58PM] Forest used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:58PM] Forest used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:08PM] Forest used command ::npckills | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:08PM] Forest used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:30PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43PM] Forest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:45PM] Forest used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:59PM] Forest used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:00PM] Forest used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:06PM] Forest used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:06PM] Forest used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:09PM] Forest used command ::toggledrops | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:09PM] Forest used command ::toggle | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:10PM] Forest used command ::hidedrops | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:15PM] Forest used command ::toggledrops | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:15PM] Forest used command ::toggledrop | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43PM] Forest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:44PM] Forest used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:04PM] Forest used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:11PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:36PM] Forest used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:38AM] Forest used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:46AM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:47AM] Forest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:48AM] Forest used command ::vote | Player rights = GRACEFUL_DONATOR	
