[4/17/23 03:20AM] Bourgondier used command ::ref | Player rights = PLAYER	
[4/17/23 03:20AM] Bourgondier used command ::ref | Player rights = PLAYER	
[4/17/23 03:21AM] Bourgondier used command ::home | Player rights = PLAYER	
[4/17/23 03:21AM] Bourgondier used command ::ref | Player rights = PLAYER	
[4/17/23 03:21AM] Bourgondier used command ::ref | Player rights = PLAYER	
[4/17/23 03:22AM] Bourgondier used command ::train | Player rights = PLAYER	
[4/17/23 03:26AM] Bourgondier used command ::bank | Player rights = PLAYER	
[4/17/23 03:26AM] Bourgondier used command ::bank | Player rights = PLAYER	
[4/17/23 03:26AM] Bourgondier used command ::home | Player rights = PLAYER	
[4/17/23 03:27AM] Bourgondier used command ::train | Player rights = PLAYER	
[4/17/23 03:28AM] Bourgondier used command ::train | Player rights = PLAYER	
[4/17/23 03:31AM] Bourgondier used command ::altar | Player rights = PLAYER	
[4/17/23 03:38AM] Bourgondier used command ::veigar | Player rights = PLAYER	
[4/17/23 03:39AM] Bourgondier used command ::veigar | Player rights = PLAYER	
[4/17/23 03:41AM] Bourgondier used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:42AM] Bourgondier used command ::meruem | Player rights = PLAYER	
[4/17/23 03:43AM] Bourgondier used command ::golden | Player rights = PLAYER	
[4/17/23 03:44AM] Bourgondier used command ::vote | Player rights = PLAYER	
[4/17/23 03:45AM] Bourgondier used command ::home | Player rights = PLAYER	
[4/17/23 03:45AM] Bourgondier used command ::pos | Player rights = PLAYER	
[4/17/23 03:48AM] Bourgondier used command ::claimvotes | Player rights = PLAYER	
[4/17/23 03:49AM] Bourgondier used command ::reward 1 | Player rights = PLAYER	
[4/17/23 03:49AM] Bourgondier used command ::reward 1 | Player rights = PLAYER	
[4/17/23 04:04AM] Bourgondier used command ::totem | Player rights = PLAYER	
[4/17/23 04:06AM] Bourgondier used command ::veigar | Player rights = PLAYER	
[4/17/23 04:14AM] Bourgondier used command ::ref | Player rights = PLAYER	
[4/17/23 04:23AM] Bourgondier used command ::home | Player rights = PLAYER	
[4/17/23 04:39AM] Bourgondier used command ::veigar | Player rights = PLAYER	
[4/17/23 04:40AM] Bourgondier used command ::ninetails | Player rights = PLAYER	
[4/17/23 04:52AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:53AM] Bourgondier used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:09AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:24AM] Bourgondier used command ::resetduo | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:25AM] Bourgondier used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:39AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:41AM] Bourgondier used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Bourgondier used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:43AM] Bourgondier used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:43AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Bourgondier used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:47AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:51AM] Bourgondier used command ::yell buying mage gear pm please | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:00AM] Bourgondier used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:09AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:13AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:39AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Bourgondier used command ::ninetails::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Bourgondier used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Bourgondier used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:42AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:55AM] Bourgondier used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:57AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:08AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:23AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:38AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Bourgondier used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Bourgondier used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Bourgondier used command ::ninetales | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:41AM] Bourgondier used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:41AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:07AM] Bourgondier used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:10AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:35AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:38AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:39AM] Bourgondier used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:40AM] Bourgondier used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:42AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:42AM] Bourgondier used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:43AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:48AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:16AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:18AM] Bourgondier used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:19AM] Bourgondier used command ::yell buying mage legs/ring/wep/shield at pm | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:27AM] Bourgondier used command ::yell buying mage shield/ring/legs | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Bourgondier used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Bourgondier used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Bourgondier used command ::inetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Bourgondier used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Bourgondier used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Bourgondier used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:46AM] Bourgondier used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 10:05AM] Bourgondier used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:09AM] Bourgondier used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:09AM] Bourgondier used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:11AM] Bourgondier used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:12AM] Bourgondier used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:22AM] Bourgondier used command ::train | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:40AM] Bourgondier used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:42AM] Bourgondier used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:47AM] Bourgondier used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:49AM] Bourgondier used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:50AM] Bourgondier used command ::yell looking to buy good mage gear at pm | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:52AM] Bourgondier used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:01AM] Bourgondier used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:02AM] Bourgondier used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:04AM] Bourgondier used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:12AM] Bourgondier used command ::yell buying big damage mage item @pm | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:19AM] Bourgondier used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:20AM] Bourgondier used command ::yell looking to buy 10m+ stat piece | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:21AM] Bourgondier used command ::ninetails | Player rights = MYSTICAL_DONATOR	
