[4/15/23 11:04AM] Smurffy used command ::starter | Player rights = PLAYER	
[4/15/23 11:12AM] Smurffy used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 11:15AM] Smurffy used command ::bank | Player rights = PLAYER	
[4/15/23 11:17AM] Smurffy used command ::starter | Player rights = PLAYER	
[4/15/23 11:24AM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 11:24AM] Smurffy used command ::train | Player rights = PLAYER	
[4/15/23 11:26AM] Smurffy used command ::starter | Player rights = PLAYER	
[4/15/23 11:59AM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 12:28PM] Smurffy used command ::upgrade | Player rights = PLAYER	
[4/15/23 12:28PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 12:45PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 12:45PM] Smurffy used command ::voteboss | Player rights = PLAYER	
[4/15/23 12:46PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 12:56PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 12:59PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 01:06PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 01:37PM] Smurffy used command ::vote | Player rights = PLAYER	
[4/15/23 01:39PM] Smurffy used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 01:39PM] Smurffy used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 01:39PM] Smurffy used command ::totem | Player rights = PLAYER	
[4/15/23 01:43PM] Smurffy used command ::Kc | Player rights = PLAYER	
[4/15/23 01:58PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 02:28PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 02:58PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 03:06PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 03:25PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 03:29PM] Smurffy used command ::Veigar | Player rights = PLAYER	
[4/15/23 03:32PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 03:39PM] Smurffy used command ::bank | Player rights = PLAYER	
[4/15/23 03:39PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 03:58PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 04:15PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 04:15PM] Smurffy used command ::teleport | Player rights = PLAYER	
[4/15/23 04:16PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 04:29PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 04:58PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 05:15PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 05:28PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 05:30PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 05:31PM] Smurffy used command ::bank | Player rights = PLAYER	
[4/15/23 05:56PM] Smurffy used command ::does the infinite overload not work?  | Player rights = PLAYER	
[4/15/23 05:59PM] Smurffy used command ::veigar | Player rights = PLAYER	
[4/15/23 06:06PM] Smurffy used command ::home | Player rights = PLAYER	
[4/15/23 06:06PM] Smurffy used command ::home | Player rights = PLAYER	
