[4/20/23 06:22PM] Seeker used command ::bank | Player rights = PLAYER	
[4/20/23 06:31PM] Seeker used command ::voted | Player rights = PLAYER	
[4/20/23 06:32PM] Seeker used command ::vote | Player rights = PLAYER	
[4/20/23 06:40PM] Seeker used command ::claimvote | Player rights = PLAYER	
[4/20/23 06:40PM] Seeker used command ::vboss | Player rights = PLAYER	
[4/20/23 06:42PM] Seeker used command ::bank | Player rights = PLAYER	
[4/20/23 06:42PM] Seeker used command ::claimvote | Player rights = PLAYER	
[4/20/23 06:44PM] Seeker used command ::claimvotes | Player rights = PLAYER	
[4/20/23 06:44PM] Seeker used command ::claimvote | Player rights = PLAYER	
[4/20/23 06:45PM] Seeker used command ::comads | Player rights = PLAYER	
[4/20/23 06:45PM] Seeker used command ::claim | Player rights = PLAYER	
[4/20/23 06:46PM] Seeker used command ::vote | Player rights = PLAYER	
[4/20/23 06:46PM] Seeker used command ::claimvote | Player rights = PLAYER	
[4/20/23 06:49PM] Seeker used command ::veiger | Player rights = PLAYER	
[4/20/23 06:50PM] Seeker used command ::veigar | Player rights = PLAYER	
[4/20/23 07:19PM] Seeker used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:22PM] Seeker used command ::meruem | Player rights = PLAYER	
