[4/19/23 05:40AM] Xlee used command ::ref | Player rights = PLAYER	
[4/19/23 05:42AM] Xlee used command ::train | Player rights = PLAYER	
[4/19/23 06:25AM] Xlee used command ::train | Player rights = PLAYER	
[4/19/23 06:26AM] Xlee used command ::vote | Player rights = PLAYER	
[4/19/23 06:27AM] Xlee used command ::reward | Player rights = PLAYER	
[4/19/23 06:28AM] Xlee used command ::reward 1 | Player rights = PLAYER	
[4/19/23 06:31AM] Xlee used command ::ninetails | Player rights = PLAYER	
[4/19/23 06:32AM] Xlee used command ::train | Player rights = PLAYER	
[4/19/23 06:35AM] Xlee used command ::meruem | Player rights = PLAYER	
[4/19/23 06:35AM] Xlee used command ::train | Player rights = PLAYER	
[4/19/23 06:35AM] Xlee used command ::golden | Player rights = PLAYER	
[4/19/23 06:38AM] Xlee used command ::train | Player rights = PLAYER	
[4/19/23 06:53AM] Xlee used command ::veigar | Player rights = PLAYER	
[4/19/23 06:55AM] Xlee used command ::veigar | Player rights = PLAYER	
[4/19/23 07:01AM] Xlee used command ::curses | Player rights = PLAYER	
[4/19/23 07:15AM] Xlee used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:18AM] Xlee used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:21AM] Xlee used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:23AM] Xlee used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:25AM] Xlee used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:44AM] Xlee used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:44AM] Xlee used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:44AM] Xlee used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:48AM] Xlee used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:50AM] Xlee used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:16AM] Xlee used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:45AM] Xlee used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:46AM] Xlee used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:47AM] Xlee used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:53AM] Xlee used command ::store | Player rights = GRACEFUL_DONATOR	
