[4/16/23 10:33AM] Dropsplease used command ::ref | Player rights = PLAYER	
[4/16/23 10:36AM] Dropsplease used command ::ref | Player rights = PLAYER	
[4/16/23 10:43AM] Dropsplease used command ::voteboss | Player rights = PLAYER	
[4/16/23 10:49AM] Dropsplease used command ::train | Player rights = PLAYER	
[4/16/23 01:15PM] Dropsplease used command ::vote | Player rights = PLAYER	
[4/16/23 01:17PM] Dropsplease used command ::reward 1 2 | Player rights = PLAYER	
[4/16/23 01:17PM] Dropsplease used command ::reward 1 | Player rights = PLAYER	
[4/16/23 01:22PM] Dropsplease used command ::veigar | Player rights = PLAYER	
[4/16/23 01:24PM] Dropsplease used command ::nineILWA | Player rights = PLAYER	
[4/16/23 01:24PM] Dropsplease used command ::NINETAILS | Player rights = PLAYER	
[4/16/23 01:24PM] Dropsplease used command ::meruem | Player rights = PLAYER	
[4/16/23 01:25PM] Dropsplease used command ::veigar | Player rights = PLAYER	
[4/16/23 01:30PM] Dropsplease used command ::shops | Player rights = PLAYER	
[4/16/23 01:30PM] Dropsplease used command ::shops | Player rights = PLAYER	
[4/16/23 01:44PM] Dropsplease used command ::shops | Player rights = PLAYER	
[4/16/23 01:44PM] Dropsplease used command ::shop | Player rights = PLAYER	
[4/16/23 01:52PM] Dropsplease used command ::veigar | Player rights = PLAYER	
[4/16/23 01:58PM] Dropsplease used command ::global | Player rights = PLAYER	
[4/16/23 01:58PM] Dropsplease used command ::voteboss | Player rights = PLAYER	
