[4/20/23 05:22AM] Dank Magic used command ::Ref youtube | Player rights = PLAYER	
[4/20/23 05:49AM] Dank Magic used command ::vEIGAR | Player rights = PLAYER	
[4/20/23 05:52AM] Dank Magic used command ::VOTEBOSS | Player rights = PLAYER	
[4/20/23 05:58AM] Dank Magic used command ::MERUEM | Player rights = PLAYER	
[4/20/23 06:14AM] Dank Magic used command ::pos | Player rights = PLAYER	
[4/20/23 06:19AM] Dank Magic used command ::veigar | Player rights = PLAYER	
[4/20/23 06:21AM] Dank Magic used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:22AM] Dank Magic used command ::golden | Player rights = PLAYER	
[4/20/23 06:27AM] Dank Magic used command ::meruem | Player rights = PLAYER	
[4/20/23 06:28AM] Dank Magic used command ::Veigar | Player rights = PLAYER	
[4/20/23 06:32AM] Dank Magic used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:47AM] Dank Magic used command ::Dz | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:52AM] Dank Magic used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:52AM] Dank Magic used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:52AM] Dank Magic used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] Dank Magic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:53AM] Dank Magic used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:11PM] Dank Magic used command ::ELO | Player rights = GRACEFUL_DONATOR	
