[4/22/23 10:53AM] Aurimas used command ::ref nobledefeat | Player rights = PLAYER	
[4/22/23 10:54AM] Aurimas used command ::ref | Player rights = PLAYER	
[4/22/23 10:54AM] Aurimas used command ::ref | Player rights = PLAYER	
[4/22/23 11:02AM] Aurimas used command ::veigar | Player rights = PLAYER	
[4/22/23 11:05AM] Aurimas used command ::bank | Player rights = PLAYER	
[4/22/23 11:06AM] Aurimas used command ::vboss | Player rights = PLAYER	
[4/22/23 11:12AM] Aurimas used command ::collection | Player rights = PLAYER	
[4/22/23 11:16AM] Aurimas used command ::yellowevent | Player rights = PLAYER	
[4/22/23 11:17AM] Aurimas used command ::yellowevent | Player rights = PLAYER	
[4/22/23 11:59AM] Aurimas used command ::voteboss | Player rights = PLAYER	
[4/22/23 12:02PM] Aurimas used command ::veigar | Player rights = PLAYER	
[4/22/23 12:06PM] Aurimas used command ::questionmark | Player rights = PLAYER	
[4/22/23 12:10PM] Aurimas used command ::ninetails | Player rights = PLAYER	
[4/22/23 12:11PM] Aurimas used command ::commands | Player rights = PLAYER	
[4/22/23 12:12PM] Aurimas used command ::collection | Player rights = PLAYER	
[4/22/23 12:21PM] Aurimas used command ::collection | Player rights = PLAYER	
[4/22/23 12:23PM] Aurimas used command ::collection | Player rights = PLAYER	
[4/22/23 12:24PM] Aurimas used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:25PM] Aurimas used command ::npckc | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:25PM] Aurimas used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:28PM] Aurimas used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:31PM] Aurimas used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32PM] Aurimas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] Aurimas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] Aurimas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34PM] Aurimas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:39PM] Aurimas used command ::collection | Player rights = GRACEFUL_DONATOR	
