[4/16/23 10:24AM] Heropt used command ::ninetails | Player rights = PLAYER	
[4/16/23 10:24AM] Heropt used command ::veigar | Player rights = PLAYER	
[4/16/23 10:25AM] Heropt used command ::ninetails | Player rights = PLAYER	
[4/16/23 10:28AM] Heropt used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 10:31AM] Heropt used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 10:31AM] Heropt used command ::Shops | Player rights = CLERIC_DONATOR	
[4/16/23 10:33AM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:33AM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:33AM] Heropt used command ::Shops | Player rights = CLERIC_DONATOR	
[4/16/23 10:33AM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:34AM] Heropt used command ::train | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Heropt used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Heropt used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:44AM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:44AM] Heropt used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:45AM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:45AM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:45AM] Heropt used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:46AM] Heropt used command ::train | Player rights = CLERIC_DONATOR	
[4/16/23 10:49AM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:49AM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:54AM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:19AM] Heropt used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:26AM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Heropt used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:33AM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:33AM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:19PM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Heropt used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:53PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] Heropt used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Heropt used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:47PM] Heropt used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 02:13PM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:23PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:23PM] Heropt used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] Heropt used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] Heropt used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] Heropt used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 02:25PM] Heropt used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Heropt used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Heropt used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Heropt used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:32PM] Heropt used command ::Pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:33PM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 03:36PM] Heropt used command ::Pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:50PM] Heropt used command ::::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:50PM] Heropt used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:50PM] Heropt used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 03:50PM] Heropt used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 03:50PM] Heropt used command ::::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:50PM] Heropt used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Heropt used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:29AM] Heropt used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:33AM] Heropt used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Heropt used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:35AM] Heropt used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:48AM] Heropt used command ::boost | Player rights = TORMENTED_DONATOR	
[4/17/23 10:48AM] Heropt used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 11:02AM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 11:03AM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 11:04AM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 11:04AM] Heropt used command ::progression | Player rights = TORMENTED_DONATOR	
[4/17/23 11:04AM] Heropt used command ::progression | Player rights = TORMENTED_DONATOR	
[4/17/23 11:04AM] Heropt used command ::progress | Player rights = TORMENTED_DONATOR	
[4/17/23 11:04AM] Heropt used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 11:05AM] Heropt used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 11:09AM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 11:54AM] Heropt used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 11:55AM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 11:56AM] Heropt used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/17/23 12:02PM] Heropt used command ::::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 12:02PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 12:08PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 12:08PM] Heropt used command ::task | Player rights = TORMENTED_DONATOR	
[4/17/23 12:08PM] Heropt used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 12:09PM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 12:11PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 12:12PM] Heropt used command ::gzzzzzzzzzzzzzzzzzzzzz | Player rights = TORMENTED_DONATOR	
[4/17/23 12:12PM] Heropt used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 12:13PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 12:15PM] Heropt used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/17/23 12:16PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
