[4/15/23 06:59PM] Frailty used command ::veigar | Player rights = PLAYER	
[4/15/23 07:00PM] Frailty used command ::train | Player rights = PLAYER	
[4/15/23 07:02PM] Frailty used command ::refferal walkchaos | Player rights = PLAYER	
[4/15/23 07:02PM] Frailty used command ::ref | Player rights = PLAYER	
[4/15/23 07:02PM] Frailty used command ::home | Player rights = PLAYER	
[4/15/23 07:05PM] Frailty used command ::train | Player rights = PLAYER	
[4/15/23 07:07PM] Frailty used command ::train | Player rights = PLAYER	
[4/15/23 07:10PM] Frailty used command ::train | Player rights = PLAYER	
[4/16/23 04:50AM] Frailty used command ::train | Player rights = PLAYER	
[4/16/23 04:51AM] Frailty used command ::totem | Player rights = PLAYER	
[4/16/23 04:52AM] Frailty used command ::train | Player rights = PLAYER	
[4/16/23 04:53AM] Frailty used command ::veigar | Player rights = PLAYER	
[4/16/23 04:55AM] Frailty used command ::train | Player rights = PLAYER	
[4/16/23 04:56AM] Frailty used command ::veigar | Player rights = PLAYER	
[4/16/23 04:58AM] Frailty used command ::collection | Player rights = PLAYER	
[4/16/23 05:06AM] Frailty used command ::collection | Player rights = PLAYER	
[4/16/23 05:07AM] Frailty used command ::home | Player rights = PLAYER	
[4/16/23 05:08AM] Frailty used command ::vote | Player rights = PLAYER	
[4/16/23 05:09AM] Frailty used command ::claimvote | Player rights = PLAYER	
[4/16/23 05:09AM] Frailty used command ::claimvote | Player rights = PLAYER	
[4/16/23 05:10AM] Frailty used command ::claim | Player rights = PLAYER	
[4/16/23 05:10AM] Frailty used command ::voted | Player rights = PLAYER	
[4/16/23 05:10AM] Frailty used command ::claimvote | Player rights = PLAYER	
[4/16/23 05:10AM] Frailty used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 05:13AM] Frailty used command ::home | Player rights = PLAYER	
[4/16/23 05:18AM] Frailty used command ::home | Player rights = PLAYER	
[4/16/23 05:23AM] Frailty used command ::veigar | Player rights = PLAYER	
[4/16/23 05:25AM] Frailty used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:27AM] Frailty used command ::meruem | Player rights = PLAYER	
[4/16/23 05:28AM] Frailty used command ::golden | Player rights = PLAYER	
[4/16/23 05:29AM] Frailty used command ::golden | Player rights = PLAYER	
[4/16/23 05:31AM] Frailty used command ::home | Player rights = PLAYER	
[4/16/23 05:33AM] Frailty used command ::home | Player rights = PLAYER	
[4/16/23 05:33AM] Frailty used command ::bank | Player rights = PLAYER	
[4/16/23 05:33AM] Frailty used command ::Pos | Player rights = PLAYER	
[4/16/23 05:33AM] Frailty used command ::pos | Player rights = PLAYER	
[4/16/23 05:33AM] Frailty used command ::pos | Player rights = PLAYER	
[4/16/23 05:33AM] Frailty used command ::pos | Player rights = PLAYER	
[4/16/23 05:34AM] Frailty used command ::pos | Player rights = PLAYER	
[4/16/23 05:34AM] Frailty used command ::pos | Player rights = PLAYER	
[4/16/23 05:35AM] Frailty used command ::home | Player rights = PLAYER	
[4/16/23 05:35AM] Frailty used command ::pos | Player rights = PLAYER	
[4/16/23 05:35AM] Frailty used command ::Pos | Player rights = PLAYER	
