[4/18/23 06:45PM] Igotplugz used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 06:45PM] Igotplugz used command ::ref | Player rights = PLAYER	
[4/18/23 06:50PM] Igotplugz used command ::bank | Player rights = PLAYER	
[4/18/23 06:50PM] Igotplugz used command ::bank | Player rights = PLAYER	
[4/18/23 06:52PM] Igotplugz used command ::starter | Player rights = PLAYER	
[4/18/23 06:53PM] Igotplugz used command ::yell is their a necklace that autopickups loot? | Player rights = PLAYER	
[4/18/23 06:59PM] Igotplugz used command ::reward 1 | Player rights = PLAYER	
[4/18/23 06:59PM] Igotplugz used command ::voteboss | Player rights = PLAYER	
[4/18/23 07:11PM] Igotplugz used command ::veigar | Player rights = PLAYER	
[4/18/23 07:41PM] Igotplugz used command ::veigar | Player rights = PLAYER	
[4/18/23 07:44PM] Igotplugz used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:44PM] Igotplugz used command ::golden | Player rights = PLAYER	
[4/18/23 08:11PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:15PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:41PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:45PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:03PM] Igotplugz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:04PM] Igotplugz used command ::rewards | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:04PM] Igotplugz used command ::reward all | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:05PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:05PM] Igotplugz used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:05PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:05PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:05PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:34PM] Igotplugz used command ::yell anyway to check kc? | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:34PM] Igotplugz used command ::yell tyyy | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:38PM] Igotplugz used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:41PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:43PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:02PM] Igotplugz used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:11PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:39PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:40PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:45PM] Igotplugz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:45PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:45PM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:46PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:49PM] Igotplugz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:05PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:35PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:38PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:49PM] Igotplugz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:51PM] Igotplugz used command ::claimreward | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:51PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:51PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:51PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:53PM] Igotplugz used command ::yell is pos down? | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:53PM] Igotplugz used command ::yell fck | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:53PM] Igotplugz used command ::yell fck | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:53PM] Igotplugz used command ::yell fck | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:53PM] Igotplugz used command ::yell fck | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:54PM] Igotplugz used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:13PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:15PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:15PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:43PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:13PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:15PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:43PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:01PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:03PM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:05PM] Igotplugz used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:17PM] Igotplugz used command ::yell gang | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:20PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:23PM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:24PM] Igotplugz used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:39PM] Igotplugz used command ::store | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:42PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:43PM] Igotplugz used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:45PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:46PM] Igotplugz used command ::yell where do i get a pickaxe? | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:47PM] Igotplugz used command ::store | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:47PM] Igotplugz used command ::ironman | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:48PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:55PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:56PM] Igotplugz used command ::yell whats the best thing to buy from afk zone? | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:19PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:32PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:32PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:33PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:34PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:34PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:35PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:36PM] Igotplugz used command ::yell should spawn another veigar sense i was nulled :(( | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:36PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:38PM] Igotplugz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:42PM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:43PM] Igotplugz used command ::afkzone | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:43PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:44PM] Igotplugz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:46PM] Igotplugz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:48PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:48PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:48PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:48PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49PM] Igotplugz used command ::yell how much is a 3kc wep? | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:51PM] Igotplugz used command ::yell pc 3kc wep? | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:55PM] Igotplugz used command ::yell pc 3kc wep | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:57PM] Igotplugz used command ::afkzone | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:57PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:02PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19PM] Igotplugz used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:22PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:03PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:06PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33AM] Igotplugz used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34AM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Igotplugz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:37AM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:38AM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:39AM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:40AM] Igotplugz used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:43AM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:28PM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
