[4/19/23 03:35PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/19/23 03:35PM] Jackaljay used command ::shops | Player rights = PLAYER	
[4/19/23 03:35PM] Jackaljay used command ::Shop | Player rights = PLAYER	
[4/19/23 03:36PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/19/23 09:09PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/19/23 09:19PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/20/23 06:49AM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/20/23 08:24PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/20/23 09:26PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/21/23 06:06PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/23/23 03:08PM] Jackaljay used command ::afk | Player rights = PLAYER	
[4/25/23 06:29AM] Jackaljay used command ::afk | Player rights = PLAYER	
