[4/17/23 09:39AM] Inherited used command ::home | Player rights = PLAYER	
[4/17/23 09:39AM] Inherited used command ::Veigar | Player rights = PLAYER	
[4/17/23 09:41AM] Inherited used command ::Ref | Player rights = PLAYER	
[4/17/23 09:42AM] Inherited used command ::ninetails | Player rights = PLAYER	
[4/17/23 09:44AM] Inherited used command ::meruem | Player rights = PLAYER	
[4/17/23 09:45AM] Inherited used command ::golden | Player rights = PLAYER	
[4/17/23 09:47AM] Inherited used command ::vote | Player rights = PLAYER	
[4/17/23 09:49AM] Inherited used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:49AM] Inherited used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:49AM] Inherited used command ::reward 1 | Player rights = PLAYER	
[4/17/23 09:49AM] Inherited used command ::home | Player rights = PLAYER	
[4/17/23 09:52AM] Inherited used command ::pos | Player rights = PLAYER	
[4/17/23 09:58AM] Inherited used command ::home | Player rights = PLAYER	
[4/17/23 10:07AM] Inherited used command ::home | Player rights = PLAYER	
[4/17/23 10:09AM] Inherited used command ::veiger | Player rights = PLAYER	
[4/17/23 10:09AM] Inherited used command ::veigar | Player rights = PLAYER	
[4/17/23 10:33AM] Inherited used command ::viegar | Player rights = PLAYER	
[4/17/23 10:33AM] Inherited used command ::veigar | Player rights = PLAYER	
[4/17/23 10:33AM] Inherited used command ::niels | Player rights = PLAYER	
[4/17/23 10:33AM] Inherited used command ::neils | Player rights = PLAYER	
[4/17/23 10:33AM] Inherited used command ::niels | Player rights = PLAYER	
[4/17/23 10:34AM] Inherited used command ::ninetails | Player rights = PLAYER	
[4/17/23 10:34AM] Inherited used command ::home | Player rights = PLAYER	
[4/17/23 10:34AM] Inherited used command ::meruem | Player rights = PLAYER	
[4/17/23 10:35AM] Inherited used command ::mereum | Player rights = PLAYER	
[4/17/23 10:35AM] Inherited used command ::mereum | Player rights = PLAYER	
[4/17/23 10:35AM] Inherited used command ::meruem | Player rights = PLAYER	
[4/17/23 10:35AM] Inherited used command ::home | Player rights = PLAYER	
[4/17/23 10:35AM] Inherited used command ::golden | Player rights = PLAYER	
[4/17/23 10:36AM] Inherited used command ::hom | Player rights = PLAYER	
