[4/16/23 11:45AM] Hyena used command ::ref | Player rights = PLAYER	
[4/16/23 11:45AM] Hyena used command ::ref | Player rights = PLAYER	
[4/16/23 11:53AM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 11:54AM] Hyena used command ::train | Player rights = PLAYER	
[4/16/23 12:00PM] Hyena used command ::train | Player rights = PLAYER	
[4/16/23 12:07PM] Hyena used command ::train | Player rights = PLAYER	
[4/16/23 12:23PM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 12:35PM] Hyena used command ::pos | Player rights = PLAYER	
[4/16/23 12:54PM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 01:54PM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 01:57PM] Hyena used command ::voteboss | Player rights = PLAYER	
[4/16/23 02:23PM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 02:24PM] Hyena used command ::golden | Player rights = PLAYER	
[4/16/23 02:24PM] Hyena used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:25PM] Hyena used command ::ninetail | Player rights = PLAYER	
[4/16/23 02:25PM] Hyena used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:53PM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 03:23PM] Hyena used command :: veigar | Player rights = PLAYER	
[4/16/23 03:23PM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 03:23PM] Hyena used command ::mereum | Player rights = PLAYER	
[4/16/23 03:24PM] Hyena used command ::meruem | Player rights = PLAYER	
[4/16/23 03:24PM] Hyena used command ::ninetails | Player rights = PLAYER	
[4/16/23 03:30PM] Hyena used command ::mereum | Player rights = PLAYER	
[4/16/23 03:30PM] Hyena used command ::meruem | Player rights = PLAYER	
[4/16/23 03:53PM] Hyena used command ::veigar | Player rights = PLAYER	
[4/16/23 04:22PM] Hyena used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:23PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:24PM] Hyena used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:53PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:02PM] Hyena used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:06PM] Hyena used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:10PM] Hyena used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:17PM] Hyena used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23PM] Hyena used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Hyena used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Hyena used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Hyena used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:12PM] Hyena used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:25PM] Hyena used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24PM] Hyena used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25PM] Hyena used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23PM] Hyena used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24PM] Hyena used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25PM] Hyena used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:52PM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:53PM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] Hyena used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] Hyena used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:42PM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Hyena used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45PM] Hyena used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:09PM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:39AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:43AM] Hyena used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 04:51AM] Hyena used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 04:51AM] Hyena used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 05:09AM] Hyena used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:39AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:44AM] Hyena used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 06:39AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Hyena used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 06:43AM] Hyena used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:08AM] Hyena used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:10AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:36AM] Hyena used command ::fps | Player rights = CLERIC_DONATOR	
[4/17/23 08:40AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:40AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:41AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Hyena used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:48AM] Hyena used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 09:49AM] Hyena used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:49AM] Hyena used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 09:50AM] Hyena used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:51AM] Hyena used command ::forge | Player rights = CLERIC_DONATOR	
[4/17/23 09:51AM] Hyena used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/17/23 10:33AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:33AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:35AM] Hyena used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Hyena used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Hyena used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Hyena used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:34AM] Hyena used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:34AM] Hyena used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:42AM] Hyena used command ::fpk | Player rights = CLERIC_DONATOR	
