[4/20/23 05:07AM] Seittit Gib used command ::::vote | Player rights = PLAYER	
[4/20/23 05:08AM] Seittit Gib used command ::vote | Player rights = PLAYER	
[4/20/23 05:57AM] Seittit Gib used command ::voteboss | Player rights = PLAYER	
[4/20/23 05:57AM] Seittit Gib used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/20/23 05:58AM] Seittit Gib used command ::mereum | Player rights = PLAYER	
[4/20/23 05:58AM] Seittit Gib used command ::mereum | Player rights = PLAYER	
[4/20/23 05:58AM] Seittit Gib used command ::meruem | Player rights = PLAYER	
[4/20/23 06:05AM] Seittit Gib used command ::edge | Player rights = PLAYER	
[4/20/23 06:06AM] Seittit Gib used command ::edgeville | Player rights = PLAYER	
[4/20/23 06:17AM] Seittit Gib used command ::slayer | Player rights = PLAYER	
[4/20/23 04:59PM] Seittit Gib used command ::pos | Player rights = PLAYER	
[4/20/23 04:59PM] Seittit Gib used command ::pos | Player rights = PLAYER	
[4/20/23 04:59PM] Seittit Gib used command ::donate | Player rights = PLAYER	
[4/20/23 10:02PM] Seittit Gib used command ::veigar | Player rights = PLAYER	
[4/20/23 11:20PM] Seittit Gib used command ::cat | Player rights = PLAYER	
[4/20/23 11:20PM] Seittit Gib used command ::garfield | Player rights = PLAYER	
[4/20/23 11:24PM] Seittit Gib used command ::stpat | Player rights = PLAYER	
[4/20/23 11:25PM] Seittit Gib used command ::vasa | Player rights = PLAYER	
[4/20/23 11:25PM] Seittit Gib used command ::goku | Player rights = PLAYER	
[4/20/23 11:25PM] Seittit Gib used command ::rimmington | Player rights = PLAYER	
[4/21/23 12:18PM] Seittit Gib used command ::staff | Player rights = PLAYER	
[4/21/23 12:19PM] Seittit Gib used command ::staffonline | Player rights = PLAYER	
[4/21/23 12:19PM] Seittit Gib used command ::players | Player rights = PLAYER	
[4/21/23 01:03PM] Seittit Gib used command ::pos | Player rights = PLAYER	
[4/21/23 01:08PM] Seittit Gib used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:10PM] Seittit Gib used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:04PM] Seittit Gib used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:43PM] Seittit Gib used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:43PM] Seittit Gib used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:44PM] Seittit Gib used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:44PM] Seittit Gib used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:38PM] Seittit Gib used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:01AM] Seittit Gib used command ::dzone | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] Seittit Gib used command ::gzone | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] Seittit Gib used command ::dz | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] Seittit Gib used command ::cz | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] Seittit Gib used command ::czone | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] Seittit Gib used command ::cleric | Player rights = CLERIC_DONATOR	
[4/22/23 05:41PM] Seittit Gib used command ::totem | Player rights = CLERIC_DONATOR	
[4/22/23 06:18PM] Seittit Gib used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/22/23 08:47PM] Seittit Gib used command ::totem | Player rights = CLERIC_DONATOR	
[4/22/23 09:02PM] Seittit Gib used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:08PM] Seittit Gib used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 09:17PM] Seittit Gib used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Seittit Gib used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Seittit Gib used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Seittit Gib used command ::meruem, | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Seittit Gib used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Seittit Gib used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Seittit Gib used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:15PM] Seittit Gib used command ::fewb | Player rights = CLERIC_DONATOR	
[4/23/23 12:15PM] Seittit Gib used command ::fewb | Player rights = CLERIC_DONATOR	
[4/23/23 12:22PM] Seittit Gib used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:35PM] Seittit Gib used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:38PM] Seittit Gib used command ::slayer | Player rights = CLERIC_DONATOR	
