[4/18/23 04:57PM] Hexzage used command ::train | Player rights = PLAYER	
[4/18/23 05:36PM] Hexzage used command ::golden | Player rights = PLAYER	
[4/18/23 05:36PM] Hexzage used command ::golden | Player rights = PLAYER	
[4/18/23 05:38PM] Hexzage used command ::golden | Player rights = PLAYER	
[4/18/23 05:39PM] Hexzage used command ::golden | Player rights = PLAYER	
[4/18/23 05:40PM] Hexzage used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 06:40PM] Hexzage used command ::pos | Player rights = PLAYER	
[4/18/23 06:40PM] Hexzage used command ::market | Player rights = PLAYER	
[4/18/23 06:45PM] Hexzage used command ::wiki | Player rights = PLAYER	
[4/18/23 06:46PM] Hexzage used command ::ref | Player rights = PLAYER	
[4/18/23 06:46PM] Hexzage used command ::meruem | Player rights = PLAYER	
[4/18/23 06:48PM] Hexzage used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:48PM] Hexzage used command ::home | Player rights = PLAYER	
[4/18/23 06:55PM] Hexzage used command ::afk | Player rights = PLAYER	
[4/18/23 06:56PM] Hexzage used command ::shops | Player rights = PLAYER	
[4/18/23 06:56PM] Hexzage used command ::afk | Player rights = PLAYER	
[4/18/23 06:58PM] Hexzage used command ::afk | Player rights = PLAYER	
[4/18/23 06:58PM] Hexzage used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 08:01PM] Hexzage used command ::bank | Player rights = PLAYER	
[4/18/23 08:01PM] Hexzage used command ::bank | Player rights = PLAYER	
