[4/15/23 12:27AM] Nelly used command ::vote | Player rights = PLAYER	
[4/15/23 12:29AM] Nelly used command ::reward 1 | Player rights = PLAYER	
[4/15/23 01:00AM] Nelly used command ::vboss | Player rights = PLAYER	
[4/15/23 02:25AM] Nelly used command ::ref | Player rights = PLAYER	
[4/15/23 02:31AM] Nelly used command ::totem | Player rights = PLAYER	
[4/16/23 02:33PM] Nelly used command ::shops | Player rights = PLAYER	
[4/16/23 02:33PM] Nelly used command ::shops | Player rights = PLAYER	
[4/16/23 02:33PM] Nelly used command ::afk | Player rights = PLAYER	
[4/16/23 03:35PM] Nelly used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 05:22PM] Nelly used command ::veigar | Player rights = PLAYER	
[4/16/23 05:23PM] Nelly used command ::ninetails | Player rights = PLAYER	
[4/16/23 05:24PM] Nelly used command ::meruem | Player rights = PLAYER	
[4/16/23 05:25PM] Nelly used command ::golden | Player rights = PLAYER	
[4/16/23 05:25PM] Nelly used command ::golden | Player rights = PLAYER	
[4/16/23 05:26PM] Nelly used command ::afk | Player rights = PLAYER	
[4/16/23 05:33PM] Nelly used command ::afk | Player rights = PLAYER	
[4/16/23 06:23PM] Nelly used command ::veigar | Player rights = PLAYER	
[4/16/23 06:25PM] Nelly used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:27PM] Nelly used command ::afk | Player rights = PLAYER	
[4/16/23 06:53PM] Nelly used command ::veigar | Player rights = PLAYER	
[4/16/23 06:55PM] Nelly used command ::afk | Player rights = PLAYER	
[4/16/23 10:42PM] Nelly used command ::afk | Player rights = PLAYER	
[4/17/23 07:05AM] Nelly used command ::afk | Player rights = PLAYER	
[4/17/23 12:02PM] Nelly used command ::afk | Player rights = PLAYER	
[4/17/23 04:32PM] Nelly used command ::veigar | Player rights = PLAYER	
[4/17/23 04:33PM] Nelly used command ::ninetails | Player rights = PLAYER	
[4/17/23 04:33PM] Nelly used command ::meruem | Player rights = PLAYER	
[4/17/23 04:34PM] Nelly used command ::golden | Player rights = PLAYER	
[4/17/23 04:34PM] Nelly used command ::golden | Player rights = PLAYER	
[4/17/23 04:34PM] Nelly used command ::afk | Player rights = PLAYER	
[4/17/23 09:24PM] Nelly used command ::afk | Player rights = PLAYER	
[4/17/23 09:33PM] Nelly used command ::AFK | Player rights = PLAYER	
[4/17/23 09:53PM] Nelly used command ::afk | Player rights = PLAYER	
[4/17/23 10:47PM] Nelly used command ::afk | Player rights = PLAYER	
[4/18/23 02:23AM] Nelly used command ::/rarity | Player rights = PLAYER	
[4/18/23 02:24AM] Nelly used command ::afk | Player rights = PLAYER	
[4/18/23 06:52AM] Nelly used command ::afk | Player rights = PLAYER	
[4/18/23 01:19PM] Nelly used command ::afk | Player rights = PLAYER	
[4/18/23 07:25PM] Nelly used command ::afk | Player rights = PLAYER	
[4/18/23 10:35PM] Nelly used command ::afk | Player rights = PLAYER	
[4/19/23 08:29AM] Nelly used command ::afk | Player rights = PLAYER	
[4/19/23 11:28AM] Nelly used command ::afk | Player rights = PLAYER	
[4/19/23 08:25PM] Nelly used command ::afk | Player rights = PLAYER	
[4/19/23 09:04PM] Nelly used command ::afk | Player rights = PLAYER	
[4/19/23 09:22PM] Nelly used command ::afk | Player rights = PLAYER	
[4/19/23 09:23PM] Nelly used command ::afk | Player rights = PLAYER	
[4/20/23 02:02AM] Nelly used command ::voteboss | Player rights = PLAYER	
[4/20/23 02:05AM] Nelly used command ::afk | Player rights = PLAYER	
[4/20/23 06:55AM] Nelly used command ::afk | Player rights = PLAYER	
[4/20/23 06:56AM] Nelly used command ::afk | Player rights = PLAYER	
[4/20/23 01:52PM] Nelly used command ::afk | Player rights = PLAYER	
[4/20/23 09:19PM] Nelly used command ::afk | Player rights = PLAYER	
[4/21/23 11:52PM] Nelly used command ::afk | Player rights = PLAYER	
[4/22/23 03:19AM] Nelly used command ::afk | Player rights = PLAYER	
[4/22/23 08:36AM] Nelly used command ::afk | Player rights = PLAYER	
[4/22/23 09:06PM] Nelly used command ::afk | Player rights = PLAYER	
[4/23/23 02:57AM] Nelly used command ::afk | Player rights = PLAYER	
