[4/16/23 01:09PM] Mango3125 used command ::referral | Player rights = PLAYER	
[4/16/23 01:12PM] Mango3125 used command ::train | Player rights = PLAYER	
[4/16/23 01:17PM] Mango3125 used command ::home | Player rights = PLAYER	
[4/16/23 01:18PM] Mango3125 used command ::bank | Player rights = PLAYER	
[4/16/23 01:18PM] Mango3125 used command ::boss | Player rights = PLAYER	
[4/16/23 01:23PM] Mango3125 used command ::home | Player rights = PLAYER	
[4/16/23 01:24PM] Mango3125 used command ::veigar | Player rights = PLAYER	
[4/16/23 01:24PM] Mango3125 used command ::meruem | Player rights = PLAYER	
[4/16/23 01:24PM] Mango3125 used command ::ninetails | Player rights = PLAYER	
[4/16/23 01:24PM] Mango3125 used command ::meruem | Player rights = PLAYER	
[4/16/23 01:26PM] Mango3125 used command ::home | Player rights = PLAYER	
[4/16/23 01:51PM] Mango3125 used command ::train | Player rights = PLAYER	
[4/16/23 01:54PM] Mango3125 used command ::veigar | Player rights = PLAYER	
[4/16/23 01:55PM] Mango3125 used command ::train | Player rights = PLAYER	
[4/16/23 01:58PM] Mango3125 used command ::voteboss | Player rights = PLAYER	
[4/16/23 02:01PM] Mango3125 used command ::slayer | Player rights = PLAYER	
[4/16/23 02:05PM] Mango3125 used command ::home | Player rights = PLAYER	
[4/16/23 02:13PM] Mango3125 used command ::ref | Player rights = PLAYER	
[4/16/23 02:23PM] Mango3125 used command ::veigar | Player rights = PLAYER	
[4/16/23 02:23PM] Mango3125 used command ::golden | Player rights = PLAYER	
[4/16/23 02:24PM] Mango3125 used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:24PM] Mango3125 used command ::golden | Player rights = PLAYER	
[4/16/23 02:25PM] Mango3125 used command ::nine | Player rights = PLAYER	
[4/16/23 02:25PM] Mango3125 used command ::dz | Player rights = PLAYER	
[4/16/23 02:25PM] Mango3125 used command ::z1 | Player rights = PLAYER	
[4/16/23 02:25PM] Mango3125 used command ::home | Player rights = PLAYER	
