[4/22/23 08:45PM] Dominium used command ::reff wr3ckedyou | Player rights = PLAYER	
[4/22/23 08:45PM] Dominium used command ::ref | Player rights = PLAYER	
[4/22/23 08:46PM] Dominium used command ::voted | Player rights = PLAYER	
[4/22/23 08:46PM] Dominium used command ::claimvotes | Player rights = PLAYER	
[4/22/23 08:46PM] Dominium used command ::reward 1 | Player rights = PLAYER	
[4/22/23 08:46PM] Dominium used command ::reward 1  | Player rights = PLAYER	
[4/22/23 08:46PM] Dominium used command ::reward 1 | Player rights = PLAYER	
[4/22/23 08:46PM] Dominium used command ::reward 1 | Player rights = PLAYER	
[4/22/23 08:51PM] Dominium used command ::voteboss | Player rights = PLAYER	
[4/22/23 08:51PM] Dominium used command ::home | Player rights = PLAYER	
[4/22/23 09:02PM] Dominium used command ::veigar | Player rights = PLAYER	
[4/22/23 09:18PM] Dominium used command ::altar | Player rights = PLAYER	
[4/22/23 09:18PM] Dominium used command ::home | Player rights = PLAYER	
[4/23/23 11:54AM] Dominium used command ::veigar | Player rights = PLAYER	
[4/23/23 04:08PM] Dominium used command ::vote | Player rights = PLAYER	
[4/23/23 04:09PM] Dominium used command ::reward 1 3 | Player rights = PLAYER	
[4/23/23 07:28PM] Dominium used command ::pos | Player rights = PLAYER	
[4/23/23 07:28PM] Dominium used command ::pos | Player rights = PLAYER	
[4/23/23 07:31PM] Dominium used command ::veigar | Player rights = PLAYER	
[4/23/23 08:09PM] Dominium used command ::reward 1 3 | Player rights = PLAYER	
[4/23/23 08:12PM] Dominium used command ::shops | Player rights = PLAYER	
[4/23/23 08:12PM] Dominium used command ::shops | Player rights = PLAYER	
[4/23/23 08:12PM] Dominium used command ::home | Player rights = PLAYER	
[4/23/23 09:13PM] Dominium used command ::vboss | Player rights = PLAYER	
