[4/15/23 02:42AM] Derrusse used command ::train | Player rights = PLAYER	
[4/15/23 02:47AM] Derrusse used command ::upgrade | Player rights = PLAYER	
[4/15/23 02:47AM] Derrusse used command ::forge | Player rights = PLAYER	
[4/15/23 02:50AM] Derrusse used command ::vote | Player rights = PLAYER	
[4/15/23 02:52AM] Derrusse used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 02:53AM] Derrusse used command ::vboss | Player rights = PLAYER	
[4/15/23 02:55AM] Derrusse used command ::shops | Player rights = PLAYER	
[4/15/23 02:55AM] Derrusse used command ::Shops | Player rights = PLAYER	
[4/15/23 02:55AM] Derrusse used command ::shops | Player rights = PLAYER	
[4/15/23 02:57AM] Derrusse used command ::vboss | Player rights = PLAYER	
[4/15/23 02:57AM] Derrusse used command ::home | Player rights = PLAYER	
[4/15/23 03:05AM] Derrusse used command ::upgrade | Player rights = PLAYER	
[4/15/23 03:05AM] Derrusse used command ::upgrades | Player rights = PLAYER	
[4/15/23 03:11AM] Derrusse used command ::refer walkchaos | Player rights = PLAYER	
[4/15/23 03:14AM] Derrusse used command ::bank | Player rights = PLAYER	
[4/15/23 03:15AM] Derrusse used command ::bank | Player rights = PLAYER	
[4/15/23 03:15AM] Derrusse used command ::home | Player rights = PLAYER	
[4/15/23 03:32AM] Derrusse used command ::c | Player rights = PLAYER	
[4/15/23 03:32AM] Derrusse used command ::kc | Player rights = PLAYER	
[4/15/23 03:32AM] Derrusse used command ::kc | Player rights = PLAYER	
[4/15/23 03:32AM] Derrusse used command ::kill | Player rights = PLAYER	
[4/15/23 03:32AM] Derrusse used command ::kills | Player rights = PLAYER	
[4/15/23 03:34AM] Derrusse used command ::kills | Player rights = PLAYER	
[4/15/23 03:34AM] Derrusse used command ::mystic | Player rights = PLAYER	
[4/15/23 03:35AM] Derrusse used command ::prestige | Player rights = PLAYER	
