[4/21/23 03:51PM] Insane used command ::noble | Player rights = PLAYER	
[4/21/23 03:57PM] Insane used command ::Ref | Player rights = PLAYER	
[4/21/23 03:58PM] Insane used command ::ref  | Player rights = PLAYER	
[4/21/23 04:01PM] Insane used command ::home | Player rights = PLAYER	
[4/21/23 04:02PM] Insane used command ::veigar | Player rights = PLAYER	
[4/21/23 04:06PM] Insane used command ::vote | Player rights = PLAYER	
[4/21/23 04:07PM] Insane used command ::claimvote | Player rights = PLAYER	
[4/21/23 04:07PM] Insane used command ::Reward 1 all | Player rights = PLAYER	
[4/21/23 04:11PM] Insane used command ::bank | Player rights = PLAYER	
[4/21/23 04:32PM] Insane used command ::veigar | Player rights = PLAYER	
[4/21/23 04:34PM] Insane used command ::9tails | Player rights = PLAYER	
[4/21/23 04:34PM] Insane used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:35PM] Insane used command ::meruem | Player rights = PLAYER	
[4/21/23 04:36PM] Insane used command ::starter | Player rights = PLAYER	
[4/21/23 04:36PM] Insane used command ::home | Player rights = PLAYER	
[4/21/23 04:36PM] Insane used command ::progression | Player rights = PLAYER	
[4/21/23 04:51PM] Insane used command ::home | Player rights = PLAYER	
[4/21/23 04:54PM] Insane used command ::bank | Player rights = PLAYER	
[4/21/23 05:01PM] Insane used command ::collection | Player rights = PLAYER	
[4/21/23 05:02PM] Insane used command ::Dr | Player rights = PLAYER	
[4/21/23 05:02PM] Insane used command ::veigar | Player rights = PLAYER	
[4/21/23 05:03PM] Insane used command ::fps | Player rights = PLAYER	
[4/21/23 05:03PM] Insane used command ::hideall | Player rights = PLAYER	
[4/21/23 05:03PM] Insane used command ::hide | Player rights = PLAYER	
[4/21/23 05:32PM] Insane used command ::VEIGAR | Player rights = PLAYER	
[4/21/23 05:33PM] Insane used command ::NINETAILS | Player rights = PLAYER	
[4/21/23 05:34PM] Insane used command ::golden | Player rights = PLAYER	
[4/21/23 05:34PM] Insane used command ::golden | Player rights = PLAYER	
[4/21/23 06:01PM] Insane used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02PM] Insane used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02PM] Insane used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:13PM] Insane used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:25PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35PM] Insane used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35PM] Insane used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35PM] Insane used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:36PM] Insane used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:37PM] Insane used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:48AM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:50AM] Insane used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:54AM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:54AM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:03AM] Insane used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:09AM] Insane used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:55AM] Insane used command ::dR | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:55AM] Insane used command ::VOTE | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Insane used command ::reward 1  | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Insane used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Insane used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:56AM] Insane used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:03AM] Insane used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:28AM] Insane used command ::Refer | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32AM] Insane used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:23PM] Insane used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28PM] Insane used command ::fps | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Insane used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Insane used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Insane used command ::eruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Insane used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:35PM] Insane used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:50PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:50PM] Insane used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:07PM] Insane used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:42PM] Insane used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:00PM] Insane used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02PM] Insane used command ::veigar | Player rights = GRACEFUL_DONATOR	
