[4/15/23 08:48AM] Madoka used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 08:54AM] Madoka used command ::home | Player rights = PLAYER	
[4/15/23 09:02AM] Madoka used command ::starter | Player rights = PLAYER	
[4/15/23 09:11AM] Madoka used command ::totem | Player rights = PLAYER	
[4/15/23 09:11AM] Madoka used command ::starter | Player rights = PLAYER	
[4/15/23 09:13AM] Madoka used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:13AM] Madoka used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:15AM] Madoka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:23AM] Madoka used command ::store | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:27AM] Madoka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Madoka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Madoka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Madoka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32AM] Madoka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32AM] Madoka used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:33AM] Madoka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:45AM] Madoka used command ::totam | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:46AM] Madoka used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58AM] Madoka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58AM] Madoka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59AM] Madoka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59AM] Madoka used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:49PM] Madoka used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:52PM] Madoka used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:56PM] Madoka used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59PM] Madoka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42AM] Madoka used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Madoka used command ::nintetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Madoka used command ::tails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Madoka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Madoka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:46AM] Madoka used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Madoka used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Madoka used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Madoka used command ::meruem | Player rights = GRACEFUL_DONATOR	
