[4/23/23 03:13AM] Tokin Joker used command ::Ref wr3ckedyou | Player rights = PLAYER	
[4/23/23 03:14AM] Tokin Joker used command ::train | Player rights = PLAYER	
[4/23/23 03:33AM] Tokin Joker used command ::Train | Player rights = PLAYER	
[4/23/23 03:33AM] Tokin Joker used command ::Golden | Player rights = PLAYER	
[4/23/23 03:33AM] Tokin Joker used command ::Voteboss | Player rights = PLAYER	
[4/23/23 03:34AM] Tokin Joker used command ::Train | Player rights = PLAYER	
[4/23/23 03:34AM] Tokin Joker used command ::Train | Player rights = PLAYER	
[4/23/23 03:37AM] Tokin Joker used command ::bank | Player rights = PLAYER	
[4/23/23 03:39AM] Tokin Joker used command ::bank | Player rights = PLAYER	
[4/23/23 03:40AM] Tokin Joker used command ::voteboss | Player rights = PLAYER	
[4/23/23 03:41AM] Tokin Joker used command ::Fps | Player rights = PLAYER	
[4/23/23 03:41AM] Tokin Joker used command ::hideall | Player rights = PLAYER	
[4/23/23 03:41AM] Tokin Joker used command ::hideplayers | Player rights = PLAYER	
[4/23/23 03:42AM] Tokin Joker used command ::hidepets | Player rights = PLAYER	
[4/23/23 03:42AM] Tokin Joker used command ::Dzone | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:42AM] Tokin Joker used command ::czone | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:43AM] Tokin Joker used command ::Traon | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:43AM] Tokin Joker used command ::train | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:47AM] Tokin Joker used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:48AM] Tokin Joker used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:50AM] Tokin Joker used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:50AM] Tokin Joker used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:51AM] Tokin Joker used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:51AM] Tokin Joker used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:51AM] Tokin Joker used command ::Claimvotes | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:51AM] Tokin Joker used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:51AM] Tokin Joker used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:51AM] Tokin Joker used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:54AM] Tokin Joker used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:54AM] Tokin Joker used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:55AM] Tokin Joker used command ::daily | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:10AM] Tokin Joker used command ::npckc | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:10AM] Tokin Joker used command ::killcount | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:16AM] Tokin Joker used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:18AM] Tokin Joker used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:18AM] Tokin Joker used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:18AM] Tokin Joker used command ::reward | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:18AM] Tokin Joker used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:10PM] Tokin Joker used command ::Changepassword | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:10PM] Tokin Joker used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:15PM] Tokin Joker used command ::Fewb | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:15PM] Tokin Joker used command ::fewb | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:22PM] Tokin Joker used command ::Votes | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:22PM] Tokin Joker used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:22PM] Tokin Joker used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/26/23 01:11AM] Tokin Joker used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:13AM] Tokin Joker used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 01:15AM] Tokin Joker used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 01:18AM] Tokin Joker used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 01:21AM] Tokin Joker used command ::star | Player rights = CLERIC_DONATOR	
[4/26/23 01:22AM] Tokin Joker used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:22AM] Tokin Joker used command ::Elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:22AM] Tokin Joker used command ::Elo | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::youtube | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::Ezone | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::Dzone | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::Szone | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::sdzone | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::rzpne | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::Rzone | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::ozone | Player rights = CLERIC_DONATOR	
[4/26/23 02:00AM] Tokin Joker used command ::czone | Player rights = CLERIC_DONATOR	
[4/26/23 02:01AM] Tokin Joker used command ::pest | Player rights = CLERIC_DONATOR	
[4/26/23 02:01AM] Tokin Joker used command ::pc | Player rights = CLERIC_DONATOR	
[4/26/23 02:01AM] Tokin Joker used command ::pestcontrol | Player rights = CLERIC_DONATOR	
[4/26/23 02:01AM] Tokin Joker used command ::raid | Player rights = CLERIC_DONATOR	
[4/26/23 02:01AM] Tokin Joker used command ::gamble | Player rights = CLERIC_DONATOR	
[4/26/23 02:01AM] Tokin Joker used command ::dice | Player rights = CLERIC_DONATOR	
[4/26/23 02:02AM] Tokin Joker used command ::duel | Player rights = CLERIC_DONATOR	
[4/26/23 02:16AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 05:05AM] Tokin Joker used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:07AM] Tokin Joker used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 05:10AM] Tokin Joker used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 05:10AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 05:11AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:06AM] Tokin Joker used command ::Golden | Player rights = CLERIC_DONATOR	
[4/26/23 06:16AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:40AM] Tokin Joker used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 06:40AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:40AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 11:54AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:03PM] Tokin Joker used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:10PM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 12:55AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:35AM] Tokin Joker used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 10:43AM] Tokin Joker used command ::Afk | Player rights = CLERIC_DONATOR	
[4/27/23 10:44AM] Tokin Joker used command ::youtube | Player rights = CLERIC_DONATOR	
[4/27/23 10:44AM] Tokin Joker used command ::Gamble | Player rights = CLERIC_DONATOR	
[4/27/23 10:46AM] Tokin Joker used command ::youtube | Player rights = CLERIC_DONATOR	
[4/27/23 10:48AM] Tokin Joker used command ::ezone | Player rights = CLERIC_DONATOR	
[4/27/23 10:54AM] Tokin Joker used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 10:58AM] Tokin Joker used command ::youtube | Player rights = CLERIC_DONATOR	
[4/27/23 10:58AM] Tokin Joker used command ::gamble | Player rights = CLERIC_DONATOR	
[4/27/23 11:16AM] Tokin Joker used command ::Afk | Player rights = CLERIC_DONATOR	
[4/27/23 11:18AM] Tokin Joker used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 46494 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::auth 464.94 | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::npc  | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tokin Joker used command ::npc vote | Player rights = CLERIC_DONATOR	
