[4/20/23 02:17AM] B0i used command ::refer | Player rights = PLAYER	
[4/20/23 02:18AM] B0i used command ::bank | Player rights = PLAYER	
[4/20/23 02:19AM] B0i used command ::home | Player rights = PLAYER	
[4/20/23 02:19AM] B0i used command ::veigar | Player rights = PLAYER	
[4/20/23 02:21AM] B0i used command ::ninetails | Player rights = PLAYER	
[4/20/23 02:23AM] B0i used command ::prayer | Player rights = PLAYER	
[4/20/23 02:24AM] B0i used command ::home | Player rights = PLAYER	
[4/20/23 02:27AM] B0i used command ::vote | Player rights = PLAYER	
[4/20/23 02:27AM] B0i used command ::train | Player rights = PLAYER	
[4/20/23 02:30AM] B0i used command ::reward 1 | Player rights = PLAYER	
[4/20/23 02:30AM] B0i used command ::reward 1 | Player rights = PLAYER	
[4/20/23 02:30AM] B0i used command ::reward 1 | Player rights = PLAYER	
[4/20/23 02:30AM] B0i used command ::reward 1 | Player rights = PLAYER	
[4/20/23 02:30AM] B0i used command ::duradel | Player rights = PLAYER	
[4/20/23 02:40AM] B0i used command ::home | Player rights = PLAYER	
[4/20/23 02:45AM] B0i used command ::home | Player rights = PLAYER	
[4/20/23 02:46AM] B0i used command ::pos | Player rights = PLAYER	
[4/20/23 02:49AM] B0i used command ::veigar | Player rights = PLAYER	
[4/20/23 02:53AM] B0i used command ::ninetails | Player rights = PLAYER	
[4/20/23 02:54AM] B0i used command ::meruem | Player rights = PLAYER	
[4/20/23 02:54AM] B0i used command ::golden | Player rights = PLAYER	
