[4/20/23 05:54AM] Asaitokj used command ::trian | Player rights = PLAYER	
[4/20/23 05:54AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 05:57AM] Asaitokj used command ::voteboss | Player rights = PLAYER	
[4/20/23 05:57AM] Asaitokj used command ::ref fpk merk | Player rights = PLAYER	
[4/20/23 05:58AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 06:00AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 06:03AM] Asaitokj used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/20/23 06:03AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 06:08AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 06:13AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 06:19AM] Asaitokj used command ::veigar | Player rights = PLAYER	
[4/20/23 06:25AM] Asaitokj used command ::referral | Player rights = PLAYER	
[4/20/23 06:25AM] Asaitokj used command ::referral wr3ckedyou | Player rights = PLAYER	
[4/20/23 06:26AM] Asaitokj used command ::ref fpk merk | Player rights = PLAYER	
[4/20/23 06:27AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 06:30AM] Asaitokj used command ::train | Player rights = PLAYER	
[4/20/23 06:34AM] Asaitokj used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:37AM] Asaitokj used command ::home | Player rights = PLAYER	
[4/20/23 06:38AM] Asaitokj used command ::pl | Player rights = PLAYER	
[4/20/23 06:39AM] Asaitokj used command ::Train | Player rights = PLAYER	
[4/20/23 06:44AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 06:45AM] Asaitokj used command ::home | Player rights = PLAYER	
[4/20/23 06:52AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 07:02AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 07:10AM] Asaitokj used command ::home | Player rights = PLAYER	
[4/20/23 07:13AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 07:18AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 07:35AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 07:44AM] Asaitokj used command ::stats | Player rights = PLAYER	
[4/20/23 07:46AM] Asaitokj used command ::curses | Player rights = PLAYER	
[4/20/23 07:46AM] Asaitokj used command ::curses | Player rights = PLAYER	
[4/20/23 07:46AM] Asaitokj used command ::curses | Player rights = PLAYER	
[4/20/23 07:46AM] Asaitokj used command ::curses | Player rights = PLAYER	
[4/20/23 07:51AM] Asaitokj used command ::home | Player rights = PLAYER	
[4/20/23 07:51AM] Asaitokj used command ::home | Player rights = PLAYER	
[4/20/23 07:51AM] Asaitokj used command ::home | Player rights = PLAYER	
[4/20/23 07:53AM] Asaitokj used command ::vote | Player rights = PLAYER	
[4/20/23 07:53AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:53AM] Asaitokj used command ::voted | Player rights = PLAYER	
[4/20/23 07:54AM] Asaitokj used command ::stats | Player rights = PLAYER	
[4/20/23 07:54AM] Asaitokj used command ::stats | Player rights = PLAYER	
[4/20/23 07:54AM] Asaitokj used command ::stata | Player rights = PLAYER	
[4/20/23 07:55AM] Asaitokj used command ::voteboss | Player rights = PLAYER	
[4/20/23 07:55AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:55AM] Asaitokj used command ::claimvoted | Player rights = PLAYER	
[4/20/23 07:55AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:56AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:56AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:56AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 07:59AM] Asaitokj used command ::ref wr3cked | Player rights = PLAYER	
[4/20/23 07:59AM] Asaitokj used command ::ref | Player rights = PLAYER	
[4/20/23 07:59AM] Asaitokj used command ::ref | Player rights = PLAYER	
[4/20/23 08:00AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 08:06AM] Asaitokj used command ::ref | Player rights = PLAYER	
[4/20/23 08:16AM] Asaitokj used command ::maxhit | Player rights = PLAYER	
[4/20/23 08:16AM] Asaitokj used command ::maxhit | Player rights = PLAYER	
[4/20/23 08:16AM] Asaitokj used command ::maxhit | Player rights = PLAYER	
[4/20/23 09:10AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 09:39AM] Asaitokj used command ::starts | Player rights = PLAYER	
[4/20/23 09:39AM] Asaitokj used command ::stats | Player rights = PLAYER	
[4/20/23 09:40AM] Asaitokj used command ::starts | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::stats | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::item | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::commands | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::comand | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::commands | Player rights = PLAYER	
[4/20/23 09:41AM] Asaitokj used command ::commands | Player rights = PLAYER	
[4/20/23 09:42AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:42AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:42AM] Asaitokj used command ::itemsstats | Player rights = PLAYER	
[4/20/23 09:42AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:43AM] Asaitokj used command ::statsitem | Player rights = PLAYER	
[4/20/23 09:43AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:46AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 09:54AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:54AM] Asaitokj used command ::maxhit | Player rights = PLAYER	
[4/20/23 09:54AM] Asaitokj used command ::itemstats | Player rights = PLAYER	
[4/20/23 09:55AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 10:09AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 10:15AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 10:20AM] Asaitokj used command ::veigar | Player rights = PLAYER	
[4/20/23 10:27AM] Asaitokj used command ::veigar | Player rights = PLAYER	
[4/20/23 10:34AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 10:45AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 10:53AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 10:57AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 11:08AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 11:13AM] Asaitokj used command ::home | Player rights = PLAYER	
[4/20/23 11:17AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 11:23AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 11:32AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 11:39AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 11:44AM] Asaitokj used command ::veigar | Player rights = PLAYER	
[4/20/23 11:48AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 11:53AM] Asaitokj used command ::vote | Player rights = PLAYER	
[4/20/23 11:53AM] Asaitokj used command ::Ciamvote | Player rights = PLAYER	
[4/20/23 11:53AM] Asaitokj used command ::claimvote | Player rights = PLAYER	
[4/20/23 11:53AM] Asaitokj used command ::reward 1 | Player rights = PLAYER	
[4/20/23 11:55AM] Asaitokj used command ::slayer | Player rights = PLAYER	
[4/20/23 12:09PM] Asaitokj used command ::slayer | Player rights = PLAYER	
