[4/15/23 03:04PM] Hankscute used command ::refer | Player rights = PLAYER	
[4/15/23 03:20PM] Hankscute used command ::Bank | Player rights = PLAYER	
[4/15/23 03:22PM] Hankscute used command ::vote | Player rights = PLAYER	
[4/15/23 03:23PM] Hankscute used command ::reward 1 | Player rights = PLAYER	
[4/15/23 03:24PM] Hankscute used command ::Reward 1 all | Player rights = PLAYER	
[4/15/23 03:26PM] Hankscute used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:29PM] Hankscute used command ::veigar | Player rights = PLAYER	
[4/15/23 03:31PM] Hankscute used command ::ninetales | Player rights = PLAYER	
[4/15/23 03:31PM] Hankscute used command ::Nine | Player rights = PLAYER	
[4/15/23 03:32PM] Hankscute used command ::ninetails | Player rights = PLAYER	
[4/15/23 03:33PM] Hankscute used command ::golden | Player rights = PLAYER	
[4/15/23 03:34PM] Hankscute used command ::pos | Player rights = PLAYER	
[4/15/23 03:34PM] Hankscute used command ::donate | Player rights = PLAYER	
