[4/21/23 02:40PM] Grenadez used command ::home | Player rights = PLAYER	
[4/21/23 02:41PM] Grenadez used command ::train | Player rights = PLAYER	
[4/21/23 02:43PM] Grenadez used command ::train | Player rights = PLAYER	
[4/21/23 02:50PM] Grenadez used command ::train | Player rights = PLAYER	
[4/21/23 02:57PM] Grenadez used command ::home | Player rights = PLAYER	
[4/21/23 03:02PM] Grenadez used command ::veigar | Player rights = PLAYER	
[4/21/23 03:03PM] Grenadez used command ::home | Player rights = PLAYER	
[4/21/23 03:03PM] Grenadez used command ::home | Player rights = PLAYER	
[4/21/23 03:04PM] Grenadez used command ::home | Player rights = PLAYER	
[4/21/23 03:06PM] Grenadez used command ::Vboss | Player rights = PLAYER	
[4/21/23 03:06PM] Grenadez used command ::home | Player rights = PLAYER	
[4/21/23 03:07PM] Grenadez used command ::vboss | Player rights = PLAYER	
[4/21/23 03:07PM] Grenadez used command ::home | Player rights = PLAYER	
