[4/17/23 04:59AM] Fishnoob used command ::ref | Player rights = PLAYER	
[4/17/23 05:00AM] Fishnoob used command ::ref | Player rights = PLAYER	
[4/17/23 05:00AM] Fishnoob used command ::ref | Player rights = PLAYER	
[4/17/23 05:01AM] Fishnoob used command ::ref | Player rights = PLAYER	
[4/17/23 05:02AM] Fishnoob used command ::train | Player rights = PLAYER	
[4/17/23 05:05AM] Fishnoob used command ::togglelevelups | Player rights = PLAYER	
[4/17/23 05:08AM] Fishnoob used command ::totem | Player rights = PLAYER	
[4/17/23 05:08AM] Fishnoob used command ::train | Player rights = PLAYER	
[4/17/23 05:09AM] Fishnoob used command ::veigar | Player rights = PLAYER	
[4/17/23 05:12AM] Fishnoob used command ::train | Player rights = PLAYER	
[4/17/23 05:36AM] Fishnoob used command ::train | Player rights = PLAYER	
[4/17/23 05:38AM] Fishnoob used command ::viegar | Player rights = PLAYER	
[4/17/23 05:38AM] Fishnoob used command ::vegiar | Player rights = PLAYER	
[4/17/23 05:38AM] Fishnoob used command ::viegar | Player rights = PLAYER	
[4/17/23 05:39AM] Fishnoob used command ::vegiar | Player rights = PLAYER	
[4/17/23 05:39AM] Fishnoob used command ::veigar | Player rights = PLAYER	
[4/17/23 05:41AM] Fishnoob used command ::ninetails | Player rights = PLAYER	
[4/17/23 05:42AM] Fishnoob used command ::meruem | Player rights = PLAYER	
[4/17/23 05:44AM] Fishnoob used command ::train | Player rights = PLAYER	
[4/17/23 05:44AM] Fishnoob used command ::voteboss | Player rights = PLAYER	
[4/17/23 05:47AM] Fishnoob used command ::train | Player rights = PLAYER	
[4/20/23 05:49AM] Fishnoob used command ::veigar | Player rights = PLAYER	
[4/20/23 05:52AM] Fishnoob used command ::voteboss | Player rights = PLAYER	
[4/20/23 05:58AM] Fishnoob used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:01AM] Fishnoob used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:05AM] Fishnoob used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:09AM] Fishnoob used command ::train | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:15AM] Fishnoob used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:15AM] Fishnoob used command ::progress | Player rights = GRACEFUL_DONATOR	
