[4/15/23 10:38AM] Tellur used command ::ref | Player rights = PLAYER	
[4/15/23 10:39AM] Tellur used command ::train | Player rights = PLAYER	
[4/15/23 12:59PM] Tellur used command ::shops | Player rights = PLAYER	
[4/15/23 12:59PM] Tellur used command ::shops | Player rights = PLAYER	
[4/15/23 01:54PM] Tellur used command ::dropon | Player rights = PLAYER	
[4/15/23 01:58PM] Tellur used command ::veigar | Player rights = PLAYER	
[4/15/23 02:02PM] Tellur used command ::voteboss | Player rights = PLAYER	
[4/15/23 03:04PM] Tellur used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:10PM] Tellur used command ::coll | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:10PM] Tellur used command ::collog | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:10PM] Tellur used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:26PM] Tellur used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Tellur used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:10PM] Tellur used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:15PM] Tellur used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:18PM] Tellur used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:22PM] Tellur used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:26PM] Tellur used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:08AM] Tellur used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:34AM] Tellur used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:36AM] Tellur used command ::collectionlog | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:09AM] Tellur used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:09AM] Tellur used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:10AM] Tellur used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Tellur used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Tellur used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:43AM] Tellur used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:27AM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 05:28AM] Tellur used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/17/23 05:28AM] Tellur used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 05:34AM] Tellur used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 05:39AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Tellur used command ::dropson | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Tellur used command ::dropon | Player rights = CLERIC_DONATOR	
[4/17/23 05:45AM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:08AM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Tellur used command ::ninteails | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Tellur used command ::progression | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 11:09AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:28AM] Tellur used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/17/23 11:37AM] Tellur used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 11:40AM] Tellur used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:57AM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:14PM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 02:08PM] Tellur used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 02:29PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 02:29PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 02:31PM] Tellur used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 02:35PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 02:35PM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 02:36PM] Tellur used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 06:04PM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Tellur used command ::claimall | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Tellur used command ::claim all | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Tellur used command ::redeem 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 07:04PM] Tellur used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:22AM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 06:19AM] Tellur used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:28AM] Tellur used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/18/23 06:28AM] Tellur used command ::upgrader | Player rights = CLERIC_DONATOR	
[4/18/23 06:28AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 06:41AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Tellur used command ::ninteails | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:43AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 07:31AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 07:31AM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 07:33AM] Tellur used command ::reward 1 akk | Player rights = CLERIC_DONATOR	
[4/18/23 07:33AM] Tellur used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 07:33AM] Tellur used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Tellur used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 07:43AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:11AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:39AM] Tellur used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
