[4/19/23 12:12AM] Dio used command ::referal | Player rights = PLAYER	
[4/19/23 12:12AM] Dio used command ::referral | Player rights = PLAYER	
[4/19/23 12:12AM] Dio used command ::bank | Player rights = PLAYER	
[4/19/23 12:18AM] Dio used command ::upgrade | Player rights = PLAYER	
[4/19/23 12:18AM] Dio used command ::upgrade | Player rights = PLAYER	
[4/19/23 12:19AM] Dio used command ::starter | Player rights = PLAYER	
[4/19/23 12:23AM] Dio used command ::bank | Player rights = PLAYER	
[4/19/23 12:23AM] Dio used command ::bank | Player rights = PLAYER	
[4/19/23 12:26AM] Dio used command ::starter | Player rights = PLAYER	
[4/19/23 12:31AM] Dio used command ::bank | Player rights = PLAYER	
[4/19/23 12:31AM] Dio used command ::starter | Player rights = PLAYER	
[4/19/23 12:35AM] Dio used command ::veigar | Player rights = PLAYER	
[4/19/23 12:39AM] Dio used command ::zones | Player rights = PLAYER	
[4/19/23 12:39AM] Dio used command ::bank | Player rights = PLAYER	
[4/19/23 12:40AM] Dio used command ::donate | Player rights = PLAYER	
[4/19/23 12:44AM] Dio used command ::ninetail | Player rights = PLAYER	
[4/19/23 12:44AM] Dio used command ::ninetail | Player rights = PLAYER	
[4/19/23 12:44AM] Dio used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:45AM] Dio used command ::vote | Player rights = PLAYER	
[4/19/23 12:46AM] Dio used command ::voted | Player rights = PLAYER	
[4/19/23 12:47AM] Dio used command ::reward | Player rights = PLAYER	
[4/19/23 12:47AM] Dio used command ::reward1 | Player rights = PLAYER	
[4/19/23 12:47AM] Dio used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:48AM] Dio used command ::reward 2 | Player rights = PLAYER	
[4/19/23 12:49AM] Dio used command ::reward 2 | Player rights = PLAYER	
[4/19/23 12:58AM] Dio used command ::claim | Player rights = PLAYER	
[4/19/23 12:58AM] Dio used command ::commands | Player rights = PLAYER	
[4/19/23 01:05AM] Dio used command ::veigar | Player rights = PLAYER	
[4/19/23 01:08AM] Dio used command ::kills | Player rights = PLAYER	
[4/19/23 01:12AM] Dio used command ::bank | Player rights = PLAYER	
[4/19/23 01:33AM] Dio used command ::guides | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34AM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34AM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:35AM] Dio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:37AM] Dio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:37AM] Dio used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:07AM] Dio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:08AM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:35AM] Dio used command ::mdfudm | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:35AM] Dio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:36AM] Dio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:38AM] Dio used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:39AM] Dio used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:46AM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:48AM] Dio used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:48AM] Dio used command ::donate | Player rights = GRACEFUL_DONATOR	
