[4/20/23 06:02AM] Ascend used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/20/23 06:08AM] Ascend used command ::home | Player rights = PLAYER	
[4/20/23 06:08AM] Ascend used command ::train | Player rights = PLAYER	
[4/20/23 06:08AM] Ascend used command ::train | Player rights = PLAYER	
[4/20/23 06:09AM] Ascend used command ::home | Player rights = PLAYER	
[4/20/23 06:10AM] Ascend used command ::train | Player rights = PLAYER	
[4/20/23 06:17AM] Ascend used command ::home | Player rights = PLAYER	
[4/20/23 06:19AM] Ascend used command ::curses | Player rights = PLAYER	
[4/20/23 06:19AM] Ascend used command ::veigar | Player rights = PLAYER	
[4/20/23 06:19AM] Ascend used command ::curses | Player rights = PLAYER	
[4/20/23 06:21AM] Ascend used command ::prayer | Player rights = PLAYER	
[4/20/23 06:21AM] Ascend used command ::home | Player rights = PLAYER	
[4/20/23 06:21AM] Ascend used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:22AM] Ascend used command ::golden | Player rights = PLAYER	
[4/20/23 06:24AM] Ascend used command ::home | Player rights = PLAYER	
[4/20/23 06:25AM] Ascend used command ::tp | Player rights = PLAYER	
[4/20/23 06:28AM] Ascend used command ::home | Player rights = PLAYER	
[4/20/23 06:28AM] Ascend used command ::veigar | Player rights = PLAYER	
[4/20/23 06:31AM] Ascend used command ::home | Player rights = PLAYER	
[4/20/23 06:33AM] Ascend used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:35AM] Ascend used command ::hideplayers | Player rights = PLAYER	
[4/20/23 06:35AM] Ascend used command ::hideplayer | Player rights = PLAYER	
[4/20/23 06:36AM] Ascend used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:40AM] Ascend used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:40AM] Ascend used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:40AM] Ascend used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:32AM] Ascend used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:34AM] Ascend used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:35AM] Ascend used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:38AM] Ascend used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:38AM] Ascend used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:39AM] Ascend used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:40AM] Ascend used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] Ascend used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:51AM] Ascend used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:55AM] Ascend used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56AM] Ascend used command ::vb | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56AM] Ascend used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02AM] Ascend used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:04AM] Ascend used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:54AM] Ascend used command ::home | Player rights = GRACEFUL_DONATOR	
