[4/15/23 06:14AM] Toxic used command ::toggle | Player rights = PLAYER	
[4/15/23 06:14AM] Toxic used command ::voted | Player rights = PLAYER	
[4/15/23 06:15AM] Toxic used command ::claimvote | Player rights = PLAYER	
[4/15/23 06:15AM] Toxic used command ::claimvotes | Player rights = PLAYER	
[4/15/23 06:15AM] Toxic used command ::Reward 1 all | Player rights = PLAYER	
[4/15/23 06:16AM] Toxic used command ::starter | Player rights = PLAYER	
[4/15/23 06:17AM] Toxic used command ::Starter | Player rights = PLAYER	
[4/15/23 06:19AM] Toxic used command ::starter | Player rights = PLAYER	
[4/15/23 06:22AM] Toxic used command ::starter | Player rights = PLAYER	
[4/15/23 06:41AM] Toxic used command ::starter | Player rights = PLAYER	
[4/15/23 06:46AM] Toxic used command ::starter | Player rights = PLAYER	
[4/15/23 06:48AM] Toxic used command ::veigar | Player rights = PLAYER	
[4/15/23 06:49AM] Toxic used command ::staff | Player rights = PLAYER	
[4/15/23 06:51AM] Toxic used command ::Train | Player rights = PLAYER	
[4/15/23 06:52AM] Toxic used command ::ref | Player rights = PLAYER	
[4/15/23 06:53AM] Toxic used command ::Starter | Player rights = PLAYER	
[4/15/23 06:56AM] Toxic used command ::starter | Player rights = PLAYER	
[4/15/23 07:03AM] Toxic used command ::train | Player rights = PLAYER	
[4/15/23 07:11AM] Toxic used command ::bank | Player rights = PLAYER	
[4/15/23 07:32AM] Toxic used command ::wboss | Player rights = PLAYER	
[4/15/23 07:32AM] Toxic used command ::Wboss | Player rights = PLAYER	
[4/15/23 07:32AM] Toxic used command ::wboss | Player rights = PLAYER	
[4/15/23 07:33AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 07:35AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 07:37AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 07:42AM] Toxic used command ::bank | Player rights = PLAYER	
[4/15/23 07:46AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 07:49AM] Toxic used command ::maxhit | Player rights = PLAYER	
[4/15/23 07:49AM] Toxic used command ::staff | Player rights = PLAYER	
[4/15/23 07:49AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 07:51AM] Toxic used command ::streak | Player rights = PLAYER	
[4/15/23 07:51AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 07:56AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 07:59AM] Toxic used command ::veigar | Player rights = PLAYER	
[4/15/23 08:00AM] Toxic used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:01AM] Toxic used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:01AM] Toxic used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:02AM] Toxic used command ::meruem | Player rights = PLAYER	
[4/15/23 08:02AM] Toxic used command ::meruem | Player rights = PLAYER	
[4/15/23 08:03AM] Toxic used command ::meruem | Player rights = PLAYER	
[4/15/23 08:03AM] Toxic used command ::totem | Player rights = PLAYER	
[4/15/23 08:03AM] Toxic used command ::Golden | Player rights = PLAYER	
[4/15/23 08:05AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:07AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:09AM] Toxic used command ::maxhit | Player rights = PLAYER	
[4/15/23 08:14AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:16AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:17AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:19AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:19AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:24AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:26AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:27AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:27AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:29AM] Toxic used command ::veigar | Player rights = PLAYER	
[4/15/23 08:29AM] Toxic used command ::ninetails | Player rights = PLAYER	
[4/15/23 08:29AM] Toxic used command ::meruem | Player rights = PLAYER	
[4/15/23 08:32AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:35AM] Toxic used command :::slayer | Player rights = PLAYER	
[4/15/23 08:35AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:36AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:41AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:42AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:43AM] Toxic used command ::Totem | Player rights = PLAYER	
[4/15/23 08:45AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:46AM] Toxic used command ::Sayer | Player rights = PLAYER	
[4/15/23 08:47AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:47AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:47AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:47AM] Toxic used command ::totem | Player rights = PLAYER	
[4/15/23 08:48AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:48AM] Toxic used command ::elo | Player rights = PLAYER	
[4/15/23 08:49AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:51AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:53AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:53AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:57AM] Toxic used command ::slayer | Player rights = PLAYER	
[4/15/23 08:58AM] Toxic used command ::veigar | Player rights = PLAYER	
[4/15/23 09:01AM] Toxic used command ::Slayer | Player rights = PLAYER	
[4/15/23 09:01AM] Toxic used command ::voteboss | Player rights = PLAYER	
[4/15/23 09:01AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:04AM] Toxic used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:06AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:07AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:10AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Toxic used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:13AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:15AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:21AM] Toxic used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:22AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:23AM] Toxic used command ::maxhit | Player rights = GRACEFUL_DONATOR	
