[4/23/23 05:09AM] I Ftw used command ::ref wr3ckedyou | Player rights = PLAYER	
[4/23/23 05:13AM] I Ftw used command ::train | Player rights = PLAYER	
[4/23/23 05:16AM] I Ftw used command ::home | Player rights = PLAYER	
[4/23/23 05:18AM] I Ftw used command ::bank | Player rights = PLAYER	
[4/23/23 05:28AM] I Ftw used command ::home | Player rights = PLAYER	
[4/23/23 05:30AM] I Ftw used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:34AM] I Ftw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:35AM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:38AM] I Ftw used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:39AM] I Ftw used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:48AM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:53AM] I Ftw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:04AM] I Ftw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] I Ftw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 06:05AM] I Ftw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] I Ftw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] I Ftw used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03PM] I Ftw used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03PM] I Ftw used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] I Ftw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:10PM] I Ftw used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:10PM] I Ftw used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:14PM] I Ftw used command ::fewbs | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:14PM] I Ftw used command ::fewb | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:25PM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:21AM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:23AM] I Ftw used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:24AM] I Ftw used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:25AM] I Ftw used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:26AM] I Ftw used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:26AM] I Ftw used command ::npclog | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:26AM] I Ftw used command ::npc | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:26AM] I Ftw used command ::npc | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:26AM] I Ftw used command ::npclogs | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:26AM] I Ftw used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:27AM] I Ftw used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:27AM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:32AM] I Ftw used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:32AM] I Ftw used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:35AM] I Ftw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:35AM] I Ftw used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:37AM] I Ftw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:37AM] I Ftw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:38AM] I Ftw used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:38AM] I Ftw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:39AM] I Ftw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:42AM] I Ftw used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:49AM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:50AM] I Ftw used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:51AM] I Ftw used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:51AM] I Ftw used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:57AM] I Ftw used command ::mykills | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:57AM] I Ftw used command ::npckills | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:58AM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:58AM] I Ftw used command ::achievement | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:58AM] I Ftw used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/26/23 05:58AM] I Ftw used command ::mydr | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:02AM] I Ftw used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:02AM] I Ftw used command ::myelo | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:02AM] I Ftw used command ::myelo | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:02AM] I Ftw used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:05AM] I Ftw used command ::veigar | Player rights = GRACEFUL_DONATOR	
